Sigle;Titel;von_;bis_;von;bis;Lizenz;Stadt;Region;National;Leitmedium
rei;Reden und Interviews;;;;;CC-BY-SA;;;;
rhp;Die Rheinpfalz;;;2007;2022;QAO-NC-LOC:ids;Ludwigshafen am Rhein;RP;;
rhz;Rhein-Zeitung;;;1996;2022;QAO-NC;Koblenz;RP;;
s;Der Spiegel;;;1947;2022;QAO-NC;;;1;1
sbl;SonntagsBlick;;;2001;2022;QAO-NC;;;;
sid;Fußball-Liveticker, Sport-Informations-Dienst;;;;;QAO-NC;;;;
sol;Spiegel Online;;;1999;2022;QAO-NC;;;1;
soz;Die Südostschweiz;;;2005;2022;QAO-NC;;;;
spk;spektrumdirekt;;;;;QAO-NC;;;;
sta;Der Standard;;;2000;2022;QAO-NC;;;;
ste;Stern;;;1996;2022;QAO-NC;;;1;
stg;Stern Gesund leben;;;2018;2022;QAO-NC;;;;
svz;Schweriner Volkszeitung;;;2004;2022;QAO-NC;Schwerin;MV;;
sze;Sächsische Zeitung;;;2000;2022;QAO-NC;Dresden;SN;;
t;die tageszeitung;;;1986;2022;QAO-NC;;;1;
tas;SonntagsZeitung (Tages-Anzeiger);;;2018;2022;QAO-NC;;;;
thm;Thomas-Mann-Korpus;;;;;QAO-NC-LOC:ids;;;;
twi;Twitter;;;;;QAO-NC-LOC:ids;;;;
u;Süddeutsche Zeitung;;;1992;2022;QAO-NC;;;1;1
umb;Umbruchsgeschichte;;;1945;2005;NA;;;;
v;Vorarlberger Nachrichten;;;1997;2022;QAO-NC;;;;
vdi;VDI Nachrichten;;;2006;2022;QAO-NC;;;;
w;Die Welt;;;1999;2022;QAO-NC;;;1;1
was;Welt am Sonntag;;;1997;2022;QAO-NC;;;1;
wdd;Wikipedia Diskussionen;;;2011;2019;CC-BY-SA;;;;
wiz;Wiener Zeitung;;;2000;2022;QAO-NC;;;;
wkb;Wendekorpus/West;;;;;QAO-NC;;;;
wkd;Wendekorpus/Ost;;;;;QAO-NC;;;;
wkv;Wendekorpus/Vereinigung;;;;;QAO-NC-LOC:ids;;;;
wpd;Wikipedia;;;2005;2019;CC-BY-SA;;;;
wud;Wikipedia Nutzer-Diskussionen;;;2015;2017;CC-BY-SA;;;;
wwo;Weltwoche;;;2005;2022;QAO-NC;;;;
x;Oberösterreichische Nachrichten;;;1996;2000;QAO-NC;;;;
z;Die Zeit;;;1953;2022;QAO-NC;;;1;1
zca;Zeit Campus;;;2009;2022;QAO-NC;;;;
zcw;ZEIT Christ und Welt;;;2018;2022;QAO-NC;;;;
zge;Zeit Geschichte;;;2010;2022;QAO-NC;;;;
zrf;Zeitrfeflexionen;;;1945;1968;NA;;;;
zwi;Zeit Wissen;;;2009;2022;QAO-NC;;;;
aan;Aachener Nachrichten;;;2004;2022;NA;Aachen;NW;;
aaz;Aachener Zeitung;;;2003;2022;NA;Aachen;NW;;
abo;Aar-Bote;;;2002;2022;NA;Bad Schwalbach;HE;;
alz;Aller-Zeitung;;;2015;2022;NA;Gifhorn;NI;;
