newspaper,length
spiegel.de,3260
spiegel.de,1140
spiegel.de,945
spiegel.de,2324
spiegel.de,1215
spiegel.de,811
spiegel.de,4710
spiegel.de,878
spiegel.de,3015
spiegel.de,1072
spiegel.de,1141
spiegel.de,1001
spiegel.de,1084
spiegel.de,628
spiegel.de,477
spiegel.de,1053
spiegel.de,256
spiegel.de,2940
spiegel.de,1543
spiegel.de,769
spiegel.de,1035
spiegel.de,2809
spiegel.de,1021
spiegel.de,1925
spiegel.de,4899
spiegel.de,1672
spiegel.de,1260
spiegel.de,735
spiegel.de,612
spiegel.de,1010
spiegel.de,192
spiegel.de,344
spiegel.de,2639
spiegel.de,868
spiegel.de,1083
spiegel.de,992
spiegel.de,431
spiegel.de,3284
spiegel.de,3178
spiegel.de,246
spiegel.de,1237
spiegel.de,901
spiegel.de,704
spiegel.de,7004
spiegel.de,1157
spiegel.de,1080
spiegel.de,1289
spiegel.de,729
spiegel.de,1137
spiegel.de,902
spiegel.de,335
spiegel.de,937
spiegel.de,1932
spiegel.de,230
spiegel.de,747
spiegel.de,969
spiegel.de,372
spiegel.de,2016
spiegel.de,508
spiegel.de,239
spiegel.de,1256
spiegel.de,1229
spiegel.de,1120
spiegel.de,750
spiegel.de,1222
spiegel.de,883
spiegel.de,823
spiegel.de,1017
spiegel.de,3923
spiegel.de,923
spiegel.de,2441
spiegel.de,1500
spiegel.de,338
spiegel.de,1429
spiegel.de,4818
spiegel.de,1081
spiegel.de,214
spiegel.de,1230
spiegel.de,543
spiegel.de,2380
spiegel.de,1117
spiegel.de,774
spiegel.de,728
spiegel.de,1037
spiegel.de,1044
spiegel.de,1987
spiegel.de,1139
spiegel.de,617
spiegel.de,1215
spiegel.de,1281
spiegel.de,326
spiegel.de,828
spiegel.de,1136
spiegel.de,658
spiegel.de,784
spiegel.de,3413
spiegel.de,1134
spiegel.de,419
spiegel.de,2352
spiegel.de,1426
spiegel.de,1011
spiegel.de,825
spiegel.de,1006
spiegel.de,1368
spiegel.de,786
spiegel.de,296
spiegel.de,1293
spiegel.de,1107
spiegel.de,965
spiegel.de,587
spiegel.de,275
spiegel.de,819
spiegel.de,1165
spiegel.de,839
spiegel.de,792
spiegel.de,1308
spiegel.de,1511
spiegel.de,11339
spiegel.de,1010
spiegel.de,664
spiegel.de,1928
spiegel.de,952
spiegel.de,595
spiegel.de,1206
spiegel.de,5460
spiegel.de,233
spiegel.de,862
spiegel.de,957
spiegel.de,942
spiegel.de,1096
