newspaper,engine,date,count
bild.de,google,2014-06-01,298
bild.de,google,2014-07-01,294
bild.de,google,2014-08-01,298
bild.de,google,2014-09-01,298
bild.de,google,2014-10-01,297
bild.de,google,2014-11-01,299
bild.de,google,2014-12-01,296
bild.de,google,2015-01-01,296
bild.de,google,2015-02-01,296
bild.de,google,2015-03-01,297
bild.de,google,2015-04-01,294
bild.de,google,2015-05-01,294
bild.de,google,2015-06-01,299
bild.de,google,2015-07-01,300
bild.de,google,2015-08-01,299
bild.de,google,2015-09-01,299
bild.de,google,2015-10-01,296
bild.de,google,2015-11-01,300
bild.de,google,2015-12-01,296
bild.de,google,2016-01-01,294
bild.de,google,2016-02-01,295
bild.de,google,2016-03-01,296
bild.de,google,2016-04-01,298
bild.de,google,2016-05-01,299
bild.de,google,2016-06-01,300
bild.de,google,2016-07-01,299
bild.de,google,2016-08-01,300
bild.de,google,2016-09-01,296
bild.de,google,2016-10-01,299
bild.de,google,2016-11-01,300
bild.de,google,2016-12-01,298
bild.de,google,2017-01-01,300
bild.de,google,2017-02-01,298
bild.de,google,2017-03-01,298
bild.de,google,2017-04-01,295
bild.de,google,2017-05-01,293
bild.de,google,2017-06-01,300
bild.de,google,2017-07-01,296
bild.de,google,2017-08-01,296
bild.de,google,2017-09-01,299
bild.de,google,2017-10-01,294
bild.de,google,2017-11-01,297
bild.de,google,2017-12-01,298
bild.de,google,2018-01-01,300
bild.de,google,2018-02-01,300
bild.de,google,2018-03-01,300
bild.de,google,2018-04-01,297
bild.de,google,2018-05-01,300
bild.de,google,2018-06-01,297
bild.de,google,2018-07-01,298
bild.de,google,2018-08-01,286
bild.de,google,2018-09-01,297
bild.de,google,2018-10-01,300
bild.de,google,2018-11-01,299
bild.de,google,2018-12-01,300
bild.de,google,2019-01-01,299
bild.de,google,2019-02-01,298
bild.de,google,2019-03-01,301
bild.de,google,2019-04-01,300
bild.de,google,2019-05-01,300
bild.de,google,2019-06-01,293
bild.de,google,2019-07-01,297
bild.de,google,2019-08-01,300
bild.de,google,2019-09-01,292
bild.de,google,2019-10-01,296
bild.de,google,2019-11-01,297
bild.de,google,2019-12-01,294
bild.de,google,2020-01-01,294
bild.de,google,2020-02-01,300
bild.de,google,2020-03-01,294
bild.de,google,2020-04-01,298
bild.de,google,2020-05-01,299
bild.de,google,2020-06-01,300
bild.de,google,2020-07-01,292
bild.de,google,2020-08-01,300
bild.de,google,2020-09-01,299
bild.de,google,2020-10-01,300
bild.de,google,2020-11-01,300
bild.de,google,2020-12-01,300
bild.de,google,2021-01-01,297
bild.de,google,2021-02-01,300
bild.de,google,2021-03-01,300
bild.de,google,2021-04-01,295
bild.de,google,2021-05-01,298
bild.de,google,2021-06-01,299
bild.de,google,2021-07-01,296
bild.de,google,2021-08-01,299
bild.de,google,2021-09-01,299
bild.de,google,2021-10-01,298
bild.de,google,2021-11-01,294
bild.de,google,2021-12-01,292
bild.de,mediacloud,2013-01-01,1
bild.de,mediacloud,2013-02-01,1
bild.de,mediacloud,2013-03-01,4
bild.de,mediacloud,2013-04-01,4
bild.de,mediacloud,2013-05-01,12
bild.de,mediacloud,2013-06-01,999
bild.de,mediacloud,2013-07-01,998
bild.de,mediacloud,2013-08-01,999
bild.de,mediacloud,2013-09-01,1539
bild.de,mediacloud,2013-10-01,1645
bild.de,mediacloud,2013-11-01,1586
bild.de,mediacloud,2013-12-01,1450
bild.de,mediacloud,2014-01-01,1618
bild.de,mediacloud,2014-02-01,1487
bild.de,mediacloud,2014-03-01,1570
bild.de,mediacloud,2014-04-01,999
bild.de,mediacloud,2014-05-01,1735
bild.de,mediacloud,2014-06-01,1634
bild.de,mediacloud,2014-07-01,997
bild.de,mediacloud,2014-08-01,712
bild.de,mediacloud,2014-09-01,428
bild.de,mediacloud,2014-10-01,999
bild.de,mediacloud,2014-11-01,1713
bild.de,mediacloud,2014-12-01,1602
bild.de,mediacloud,2015-01-01,999
bild.de,mediacloud,2015-02-01,1585
bild.de,mediacloud,2015-03-01,999
bild.de,mediacloud,2015-04-01,1667
bild.de,mediacloud,2015-05-01,998
bild.de,mediacloud,2015-06-01,999
bild.de,mediacloud,2015-07-01,999
bild.de,mediacloud,2015-08-01,1716
bild.de,mediacloud,2015-09-01,999
bild.de,mediacloud,2015-10-01,1710
bild.de,mediacloud,2015-11-01,1655
bild.de,mediacloud,2015-12-01,999
bild.de,mediacloud,2016-01-01,1899
bild.de,mediacloud,2016-02-01,996
bild.de,mediacloud,2016-03-01,998
bild.de,mediacloud,2016-04-01,1780
bild.de,mediacloud,2016-05-01,999
bild.de,mediacloud,2016-06-01,998
bild.de,mediacloud,2016-07-01,999
bild.de,mediacloud,2016-08-01,999
bild.de,mediacloud,2016-09-01,1751
bild.de,mediacloud,2016-10-01,999
bild.de,mediacloud,2016-11-01,999
bild.de,mediacloud,2016-12-01,999
bild.de,mediacloud,2017-01-01,998
bild.de,mediacloud,2017-02-01,999
bild.de,mediacloud,2017-03-01,998
bild.de,mediacloud,2017-04-01,1655
bild.de,mediacloud,2017-05-01,1784
bild.de,mediacloud,2017-06-01,1817
bild.de,mediacloud,2017-07-01,1823
bild.de,mediacloud,2017-08-01,983
bild.de,mediacloud,2017-09-01,1823
bild.de,mediacloud,2017-10-01,1966
bild.de,mediacloud,2017-11-01,1920
bild.de,mediacloud,2017-12-01,1999
bild.de,mediacloud,2018-01-01,2998
bild.de,mediacloud,2018-02-01,1998
bild.de,mediacloud,2018-03-01,1994
bild.de,mediacloud,2018-04-01,1999
bild.de,mediacloud,2018-05-01,999
bild.de,mediacloud,2018-06-01,764
bild.de,mediacloud,2018-07-01,440
bild.de,mediacloud,2018-08-01,999
bild.de,mediacloud,2018-09-01,975
bild.de,mediacloud,2018-10-01,2673
bild.de,mediacloud,2018-11-01,2527
bild.de,mediacloud,2018-12-01,2488
bild.de,mediacloud,2019-01-01,2312
bild.de,mediacloud,2019-02-01,2356
bild.de,mediacloud,2019-03-01,1448
bild.de,mediacloud,2019-04-01,870
bild.de,mediacloud,2019-05-01,2601
bild.de,mediacloud,2019-06-01,2321
bild.de,mediacloud,2019-07-01,997
bild.de,mediacloud,2019-08-01,999
bild.de,mediacloud,2019-09-01,2282
bild.de,mediacloud,2019-10-01,948
bild.de,mediacloud,2019-11-01,2302
bild.de,mediacloud,2019-12-01,2215
bild.de,mediacloud,2020-01-01,2364
bild.de,mediacloud,2020-02-01,2296
bild.de,mediacloud,2020-03-01,2836
bild.de,mediacloud,2020-04-01,2727
bild.de,mediacloud,2020-05-01,3552
bild.de,mediacloud,2020-06-01,2805
bild.de,mediacloud,2020-07-01,3035
bild.de,mediacloud,2020-08-01,3390
bild.de,mediacloud,2020-09-01,4356
bild.de,mediacloud,2020-10-01,5025
bild.de,mediacloud,2020-11-01,4817
bild.de,mediacloud,2020-12-01,4795
bild.de,mediacloud,2021-01-01,4927
bild.de,mediacloud,2021-02-01,4536
bild.de,mediacloud,2021-03-01,5013
bild.de,mediacloud,2021-04-01,3630
bild.de,mediacloud,2021-05-01,4557
