;Bevölkerung 0 bis 17 Jahre (%);
;;
schluessel;regionaleinheit;wert
01;Schleswig-Holstein;16.3
02;Hamburg;17
03;Niedersachsen;16.8
04;Bremen;16.8
05;Nordrhein-Westfalen;17
06;Hessen;17
07;Rheinland-Pfalz;16.5
08;Baden-Württemberg;17.1
09;Bayern;16.7
10;Saarland;15
11;Berlin;16.8
12;Brandenburg;16.1
13;Mecklenburg-Vorpommern;15.4
14;Sachsen;16
15;Sachsen-Anhalt;15
16;Thüringen;15.4
