Sigle;Titel;von;bis;Lizenz;Leitmedium
nun;Nürnberger Nachrichten;1990;2021;QAO-NC;0
nuz;Nürnberger Zeitung;2002;2021;QAO-NC;0
nzf;NZZ Folio;1994;2021;QAO-NC;0
nzs;NZZ am Sonntag;2002;2021;QAO-NC;0
nzz;Neue Zürcher Zeitung;2000;2021;QAO-NC;0
o;Neue Kronen-Zeitung;1994;2000;QAO-NC;0
p;Die Presse;1991;2021;QAO-NC;0
ph;Psychologie Heute;2005;2011;QAO-NC;0
pp-;Plenarprotokolle;;;QAO-NC;0
prf;profil;2000;2021;QAO-NC;0
r;Frankfurter Rundschau;1997;1999;QAO-NC;0
rei;Reden und Interviews;;;CC-BY-SA;0
rhp;Die Rheinpfalz;2007;2021;QAO-NC-LOC:ids;0
rhz;Rhein-Zeitung;1996;2021;QAO-NC;0
s;Der Spiegel;1947;2021;QAO-NC;1
sbl;SonntagsBlick;2001;2021;QAO-NC;0
sid;Fußball-Liveticker, Sport-Informations-Dienst;;;QAO-NC;0
sol;Spiegel Online;1999;2021;QAO-NC;0
soz;Die Südostschweiz;2005;2021;QAO-NC;0
spk;spektrumdirekt;;;QAO-NC;0
sta;Der Standard;2000;2021;QAO-NC;0
ste;Stern;1996;2021;QAO-NC;1
stg;Stern Gesund leben;2018;2021;QAO-NC;0
svz;Schweriner Volkszeitung;2004;2021;QAO-NC;0
sze;Sächsische Zeitung;2000;2021;QAO-NC;0
t;die tageszeitung;1986;2021;QAO-NC;1
tas;SonntagsZeitung (Tages-Anzeiger);2018;2021;QAO-NC;0
thm;Thomas-Mann-Korpus;;;QAO-NC-LOC:ids;0
twi;Twitter;;;QAO-NC-LOC:ids;0
u;Süddeutsche Zeitung;1992;2021;QAO-NC;1
umb;Umbruchsgeschichte;1945;2005;NA;0
v;Vorarlberger Nachrichten;1997;2021;QAO-NC;0
vdi;VDI Nachrichten;2006;2021;QAO-NC;0
w;Die Welt;1999;2021;QAO-NC;1
was;Welt am Sonntag;1997;2021;QAO-NC;1
wdd;Wikipedia Diskussionen;2011;2019;CC-BY-SA;0
wiz;Wiener Zeitung;2000;2021;QAO-NC;0
wkb;Wendekorpus/West;;;QAO-NC;0
wkd;Wendekorpus/Ost;;;QAO-NC;0
wkv;Wendekorpus/Vereinigung;;;QAO-NC-LOC:ids;0
wpd;Wikipedia;2005;2019;CC-BY-SA;0
wud;Wikipedia Nutzer-Diskussionen;2015;2017;CC-BY-SA;0
wwo;Weltwoche;2005;2021;QAO-NC;0
x;Oberösterreichische Nachrichten;1996;2000;QAO-NC;0
z;Die Zeit;1953;2021;QAO-NC;1
zca;Zeit Campus;2009;2021;QAO-NC;0
zcw;ZEIT Christ und Welt;2018;2021;QAO-NC;0
zge;Zeit Geschichte;2010;2021;QAO-NC;0
zrf;Zeitrfeflexionen;1945;1968;NA;0
zwi;Zeit Wissen;2009;2021;QAO-NC;0
