QUARTAL;Titelnummer;IVW_Nummer;ZIS_PZN;Titelbezeichnung;Titelzusatz;Ort;Verlagsnummer;Preislisten;Erscheinungsweise;Kennzeichen_Statistik;Verbreitung;Verkauf;Druckauflage_gesamt;Abo_gesamt;davon_Mehrf_25;davon_Mitglieder;EV_Lieferung;Remittenden;Sonst_Verkauf;Lesezirkel;Bordexemplare;Freistücke_gesamt;davon_ausgelegt;Zahl_Auslege_Stellen;Reste_Belege;Sonder_Hinweis;Verbreitung_Ausland;Verkauf_Ausland;Druckauflage_gesamt_A;Abo_gesamt_A;davon_Mehrf_25_A;davon_Mitglieder_A;EV_Lieferung_A;Remittenden_A;Sonst_Verkauf_A;Lesezirkel_A;Bordexemplare_A;Freistücke_Gesamt_A;davon_ausgelegt_A;Zahl_Auslege_Stellen_A;Reste_Belege_A;Sachgruppe;KdZ_VerkWeitKunden_Gesamt;KdZ_VerkWeitKunden_Ausland;HB_Bindeauflage_CDROM;HB_VerkAuflage_CDROM;HB_FreiGesamt_CDROM;HB_Reste_CDROM;TKV_Verbreitung_gesamt;TKV_Verbreitung_CDROM;TKV_zur_Abholung_geliefert;TKV_zur_Abholung_geliefert_CD;TKV_Direktvertr_gesamt;TKV_Direktvertr_CDROM;Erschienen;VertriebAbgeschlossen;Supplement_Gesamtverkauf;Supplement_sonstVerbreitung;Korrektur_KZ;enthaelt_ePaper;enthaelt_Pocket;enthalten_in;Korrektur_Datum
20223;2588;1268001320;101507;Mitteldeutsche Zeitung Quedlinburg;;Quedlinburg;377;;Mo-Sa;10;7231;7043;7125;6269;0;0;692;423;505;0;0;188;0;0;271;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;6622;;;
20223;12122;1268001360;101173;Mitteldeutsche Zeitung Sangerhausen;davon ePaper;Sangerhausen;377;;Mo-Fr;10;791;733;791;400;0;0;0;0;333;0;0;58;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12120;
20223;2589;1268001360;101173;Mitteldeutsche Zeitung Sangerhausen;;Sangerhausen;377;;Mo-Sa;10;7524;7299;7147;6539;0;0;480;266;546;0;0;225;0;0;148;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;6623;;;
20223;6623;1268001360;101173;Mitteldeutsche Zeitung Sangerhausen;davon ePaper;Sangerhausen;377;;Mo-Sa;10;791;733;791;400;0;0;0;0;333;0;0;58;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;2589;
20223;12123;1268001360;101173;Mitteldeutsche Zeitung Sangerhausen;davon ePaper;Sangerhausen;377;;Sa;10;791;733;791;400;0;0;0;0;333;0;0;58;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12121;
20223;12120;1268001360;101173;Mitteldeutsche Zeitung Sangerhausen;;Sangerhausen;377;;Mo-Fr;10;7494;7272;7082;6529;0;0;433;236;546;0;0;222;0;0;143;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12122;;;
20223;12121;1268001360;101173;Mitteldeutsche Zeitung Sangerhausen;;Sangerhausen;377;;Sa;10;7680;7439;7474;6589;0;0;722;421;549;0;0;241;0;0;164;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12123;;;
20223;12125;1268001380;102567;Mitteldeutsche Zeitung Weißenfels;;Weißenfels;377;;Sa;10;8350;8028;8155;7139;0;0;802;432;519;0;0;322;0;0;181;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12127;;;
20223;12126;1268001380;102567;Mitteldeutsche Zeitung Weißenfels;davon ePaper;Weißenfels;377;;Mo-Fr;10;808;738;808;403;0;0;0;0;335;0;0;70;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12124;
20223;2590;1268001380;102567;Mitteldeutsche Zeitung Weißenfels;;Weißenfels;377;;Mo-Sa;10;8075;7781;7694;7059;0;0;456;249;515;0;0;294;0;0;178;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;6624;;;
