Corpus;Sigle;Titel;von_;bis_;von;bis;Lizenz;Stadt;Region;National;Leitmedium
W3;kn;Kieler Nachrichten;;;2019;2022;NA;Kiel;SH;;
W3;kru;Kölnische Rundschau;;;2002;2022;NA;Köln;NW;;
W3;kxp;Kölner Express;;;2000;2022;NA;Köln;NW;;
W3;lhz;Landhuter Zeitung;;;2014;2022;NA;Landshut;BY;;
W3;lit;Lingener Tagespost;;;2012;2019;NA;Lingen;NI;;
W3;ln;Lübecker Nachrichten;;;2019;2022;NA;Lübeck;SH;;
W3;lvz;Leipziger-Volkszeitung;;;2000;2022;NA;Leipzig;SN;;
W3;mag;Märkische Allgemeine;;;2007;2022;NA;Potsdam;BB;;
W3;maz;Allgemeine Zeitung;;;2000;2022;NA;Mainz;RP;;
W3;mep;Meppener Tagespost;;;2012;2019;NA;Meppen;NI;;
W3;mme;Münchner Merkur;;;2016;2022;NA;München;BY;;
W3;mpo;Main-Post;;;1997;2022;NA;Würzburg;BY;;
W3;mtk;Main-Taunus-Kurier;;;2002;2019;NA;Darmstadt;HE;;
W3;muv;Metzinger Uracher Volksblatt;;;2014;2022;NA;Metzingen;BW;;
W3;mze;Mitteldeutsche Zeitung;;;2000;2022;NA;Halle (Saale);ST;;
W3;nbk;Nordbayerischer Kurier;;;2015;2022;NA;Bayreuth;BY;;
W3;ngz;Neuss-Grevenbroicher Zeitung;;;2013;2022;NA;Neuss;NW;;
W3;nkz;Neue Kronen-Zeitung;;;2002;2022;NA;;;AT;
W3;nlz;Neue Luzerner Zeitung;;;2000;2022;NA;Luzern;CH;;
W3;nnn;Norddeutsche Neueste Nachrichten;;;2013;2022;NA;Rostock;MV;;
W3;nnp;Nassauische Neue Presse;;;2014;2022;NA;Nassau (Lahn);RP;;
W3;now;Nordwest-Zeitung;;;2016;2022;NA;Oldenburg;NI;;
W3;npr;Neue Presse;;;2015;2022;NA;Hannover;NI;;
W3;nvb;Neues Volksblatt;;;2000;2022;NA;Linz;AT;;
W3;nvt;Neue Vorarlberger Tageszeitung;;;2000;2022;NA;Schwarzach;AT;;
W3;nwe;Neue Westfälische;;;2003;2022;NA;Bielefeld;NW;;
W3;nws;Die Nordwestschweiz;2000;2004;2009;2022;NA;Aarau;CH;;
W3;nwz;Neue Württembergische Zeitung;;;2007;2022;NA;Göppingen;BW;;
W3;oaz;Oschatzer Allgemeine Zeitung;;;2013;2022;NA;Oschatz;SN;;
W3;ohz;Oberhessische Zeitung;;;2007;2022;NA;Alsfeld;HE;;
W3;ovz;Osterländer Volkszeitung;;;2013;2022;NA;Altenburg;TH;;
W3;pnn;Potsdamer Neuste Nachrichten;;;2005;2022;NA;Potsdam;BB;;
W3;pnp;Passauer Neue Presse;;;2001;2022;NA;Passau;BY;;
W3;rln;Reutlinger Nachrichten;;;2014;2022;NA;Reutlingen;BW;;
W3;rn;Ruhr Nachrichten;;;2019;2022;NA;Dortmund;NW;;
W3;rpo;Rheinische Post;;;2001;2022;NA;Düsseldorf;NW;;
