Datum,Teilnehmer,Thema,sheet_name,Ort
2018-03-10 00:00:00,10,"Mahnwache für 7 Jahre nach Fukushima-
Atomausstieg hier und anderswo",Table 1,Zülpicher Platz
2018-03-16 00:00:00,70-100,"Erinnerung an den in der Stadt Halepce
geschehenen Völkermord im Jahr 1988",Table 1,Rudolfplatz- Westseite
2018-03-24 00:00:00,20,"Tag zur Abschaffung von Fischerei und
Aquakultur",Table 1,"Schildergasse 110, vor Nordsee"
2018-03-08 00:00:00,20,"Solidarität mit dem Protest der iranischen Frauen
gegen den Zwang des Kopftuchs",Table 1,"Schildergasse, Antoniterkirche"
2018-03-28 00:00:00,10-30,"Weg mit den Privilegien von Männern.
Gegen das Patriarchat.",Table 1,Wiener Platz
2018-04-20 00:00:00,20-30,"Sofortige Umsetzung des Ratsbeschlusses der
Stadt Köln",Table 1,"Deutzer Freiheit,
Höhe Haus Nr. 65"
2018-04-11 00:00:00,20,Grausame Hundetrainingsmethoden,Table 1,"Willy-Brandt-Platz, Nordeingang Lanxess-Arena-Platz"
2018-05-24 00:00:00,20-30,"Wohnungsnot, Gentrifizierung, Vertreibung, Alles für Alle, No Broders",Table 1,Wiener Platz
2018-05-25 00:00:00,,,Table 1,
2018-05-26 00:00:00,,,Table 1,
"23.05.18-
27.05.18",20-30,"Wohnungsnot, Gentrifizierung, Vertreibung, Alles
für Alle, No Broders",Table 1,"Grünanlage hinter Stadthalle
Mülheim"
2018-03-17 00:00:00,300-500,"Der 7. Jahrestag des Beginn der syrischen
Revolution",Table 1,Heumarkt
2018-03-21 00:00:00,500,"Köln gegen den Krieg in Afrin- Keine
Unterstützung für Erdogan",Table 1,"Rudolfplatz (Auftakt)
Alter Markt (Abschluss)"
2018-06-09 00:00:00,1000,"Wir wehren uns! Gegen Rassismus, Antisemitismus und Sexismus!",Table 1,"Alter Markt BreslauerPlatz Heinrich-Böll-Platz Heumarkt Neumarkt
Ottoplatz"
2018-03-09 00:00:00,100,"Wir sind es wert/ Warnstreik Tarifrunde
Öffentlicher Dienst",Table 1,Ottoplatz
2018-03-17 00:00:00,150-200,Stoppt den Krieg in Syrien,Table 1,Heumarkt
2018-03-31 00:00:00,150-200,"Atomwaffen abschaffen; Abrüsten statt
aufrüsten; Frieden",Table 1,Bahnhofsvorplatz
2018-03-13 00:00:00,50,Befristungen stoppen!,Table 1,"Blumenthalstr. /vor
Arbeitsgericht"
2018-03-10 00:00:00,6-10,Gegen Rechtsextreme im Kölner Norden,Table 1,"August-Haasstr./ Longericher
Str."
2018-03-24 00:00:00,10,Öffentl. Personennahverkehr,Table 1,"Höninger Weg, Ecke Gottesweg"
2018-03-24 00:00:00,4000-5000,"Stoppt den Völkerrechtswidrigen Angriffskrieg der
Türkei/ Erdogan!",Table 1,"Ebertplatz
Roncalliplatz"
2018-03-12 00:00:00,250-300,Stoppt den Aggressionen Krieg in Afrin,Table 1,Bahnhofsvorplatz
2018-03-13 00:00:00,250-300,Stoppt den Aggressionen Krieg in Afrin,Table 1,"Budengasse 10, CDU"
2018-03-14 00:00:00,50-100,Stoppt den Aggressionen Krieg in Afrin,Table 1,"Luxemburger Str. 285
vor Türkischem Konsulat"
2018-03-23 00:00:00,20,Vegane Ostern,Table 1,"Schildergasse 57 (neben
Antoniterkirche)"
