Datum,Uhrzeit,Thema,Standort,Teilnehmer,sheet_name
2021-09-28 00:00:00,17.00-20.00,Safe Abortion Day,Schevenbrücke,100,2021
2021-09-28 00:00:00,13.15-14.15,Aktion zur Tarifrunde im privaten/öffentlichen Bankgewerbe,Holstenstraße/Einmündung Hafenstraße,25-30,2021
2021-10-04 00:00:00,10.00-12.00/14.00,Wasserdemo zu illegalen Holzimporten (Gorch Fock),"""Aufzug"" ab Sporthafen Wik",ca. 30,2021
2021-10-06 00:00:00,11.00-12.00,Chemische Angriffe der Türkei aus Südkurdistan,Landtag,30-50.,2021
2021-10-12 00:00:00,14.00-15.00,Hände weg vom Arbeitsvorgang! - Tarifverhandlungen  im öffentlichen Dienst,Landeshaus,25,2021
2021-10-16 00:00:00,14.00-18.00,Keine Zweiklassengesellschaft! Wir halten zusammen.,Aufzug/Reventlouwiese,500,2021
2021-10-17 00:00:00,16.00-19.00,Menschen im Dialog - Wie geht es dir in der Krise?,Exerzierplatz,100-300,2021
15.10.2021,11.00-17.00,Mahnwache Förderung Klimaschutz,Lorentzendamm 24/WTSH,3,2021
2021-10-19 00:00:00,05.00-14.30,Streikversammlung,Städtisches Krankenhaus/Haupteingang,ca. 40,2021
2021-10-21 00:00:00,09.00-12.00,Jetzt ist Schicht!  IG Metall Warnstreik,Uferstraße 80/Voith,bis 50,2021
2021-10-22 00:00:00,06.00-08.00/20.00,An- und Abreise Globaler Klimastreik Berlin (FFF),Exerzierplatz,100,2021
2021-10-28 00:00:00,12.00-13.00,Einkommensrunde 2021 mit der Tarifgemeinschaft deutscher Länder,Finanzministerium,ca. 50,2021
2021-10-28 00:00:00,15.30-16.30,Tarifverhandlungen Städtisches Krankenhaus Service GmbH,Rathausplatz,50,2021
2021-10-28 00:00:00,15.45-16.45,Tarifverhandlungen Johann-Stiftung/Schule für Physiotherapie-Ausbildung,Aufzug/Gwerkschaftshaus,ca. 30,2021
2021-10-29 00:00:00,07.00-11.30,Fairwandel konkret! Wir gestlten Zukunft! Perspektive und Sicherheit bei CATERPILLAR,Falckensteiner Str. 2-4/Werkstor,ca. 50,2021
2021-10-29 00:00:00,18.00-21.00,Kunst im öffetlichen Raum ermöglichen (statt Parkplätze),Weimarer Straße 3 (Kiez-Kiosk),50,2021
2021-10-30 00:00:00,12.00-15.00,Grünes Image ist nicht käuflich ,Westring/Möbel Höffner,150-250,2021
2021-10-30 00:00:00,15.00-19.00,Chemische Angriffe der Türkei auf Südkurdistan,Aufzug/Platz der Kieler Matrosen,200,2021
2021-10-31 00:00:00,14.00-16.00,Standing with the Earth,Bahnhofskai/Hörnbrücke,ca. 40,2021
2021-11-04 00:00:00,19.00-21.00,Kein Schlussstrich! 10. Jahrestag der Enttarnung der Terrorgruppe NSU,Platz der Kieler Matrosen ,200,2021
2021-11-11 00:00:00,09.15-12.15,Für eine solidarische Hochschule - bessere Studien- und Arbeitsbedingungen für alle!,Aufzug/Landtag,150,2021
2021-11-11 00:00:00,13.00-17.00,Chemische Angriffe der Türkei aus Südkurdistan,Platz der Kieler Matrosen,20,2021
2021-11-16 00:00:00,05.30-08.15,Tarifverhandlungen TVL/Streik,UKSH Haupteingang + Aufzug,200,2021
2021-11-16 00:00:00,10.00-12.00,Tarifverhandlungen TVL/Streik,Aufzug/Gewerkschftshaus,300,2021
2021-11-16 00:00:00,2015-08-01 07:45:00,Tarifverhandlungen TVL/Streik - UKSH + Akademie,Kieler Schloss/Aufzug,50,2021
2021-11-18 00:00:00,11.00-15.00,Gemeinsam für unsere Kinder - bessere Arbeitsbedingungen als Fundament für verlässliche Bildung,Aufzug/CAU,100-200,2021
2021-11-19 00:00:00,11.00-14.00,Deutschlandweite FFF-Streiks vor Parteizentralen wegen Koalitionsverhndlungen,"Eichhofstraße/Landesge-
schäftsstelle FDP",15-60,2021
2021-11-20 00:00:00,15.00-17.00,Solidartät für die Flüchtlinge an der EU-Grenze,Platz der Kieler Matrosen,100,2021
2021-11-22 00:00:00,11.30-13.30,Tarifverhandlungen im öffentlichen Dienst,Polizeizentrum Eichhof,ca. 200,2021
2021-11-23 00:00:00,18.00-20.00,29. Jahrestag der Möllner Brandanschläge,Bahide Arslan-Platz,100,2021
2021-11-24 00:00:00,12.30-14.00,Menschenkette und Kundgebung anlässlich der Einkommensrunde im öffetlichen Dienst,Reventloubrücke,ca. 300,2021
2021-11-25 00:00:00,18.00-20.00,Mahnwache anlässlich des internationalen Tages gegen Gewalt an FLINTA-Personen,Holstenstraße,100-200,2021
2021-11-25 00:00:00,5.30-8.15,Tarifverhandlungen TVL,Aufzug UKSH,300,2021
2021-11-25 00:00:00,10.00-12.00,Tarifverhandlungen TVL,Aufzug/Gewerkschaftshaus,400,2021
2021-11-25 00:00:00,7.45-8.45,Tarifverhandlungen Länder-UKSH/UKSH Akademie,Aufzug/Schlossplatz,35,2021
2021-11-26 00:00:00,16.00-17.30,Für mehr Klimaschutz im Koalitionsvertrag,Aufzug/Schrevenpark,ca. 100,2021
26.11.2021,08.45-10.15,Die Kuh muss vom Eis -Mehr Gehalt ist echte Anerkennung.,Finanzministerium,max. 50,2021
2021-11-27 00:00:00,12.00-14.00,Tierschutz - gegen Massentierhaltung,Berliner Platz,10-25,2021
2021-11-27 00:00:00,13.00-16.00,Für Evidenz-basierte Pandemie-Maßnahmen und Studienbegleitung aller Maßnahmen,Aufzug/Gablenzbrücke,20-50,2021
2021-12-01 00:00:00,18.00-19.00,Lichtergang zum Gedenken an HIV-Kranke und an AIDS verstorbenen Menschen,Aufzug/Welcome Center,30,2021
2021-12-01 00:00:00,08.00-10.00,Atomwaffenverbotsvertrag der UNO,Landeshaus/Mahnwache,5,2021
2021-12-02 00:00:00,18:30-20.30,"Lichtermarsch für Frieden, Freiheit und Demokratie",Aufzug/Exerzierplatz,100-150,2021
2021-12-09 00:00:00,18.30-21.30,Lichterumzug als Zeichen für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,300-500,2021
2021-12-11 00:00:00,15.00-?,Freiheit für Abdullah Öcalan,Aufzug /Platz der Kieler Matrosen,ca. 250,2021
2021-12-12 00:00:00,17.00-20.00,Schilderwald - Solidarität mit Geflüchteten an den Europäischen Außengrenzen,Holstenstraße,100,2021
2021-12-16 00:00:00,18:30-max.21.30,Lichterumzug für den Zusammenhalt der Menschen & Gesellschaft,Aufzug/Exerzierplatz,300-500,2021
2021-12-18 00:00:00,12.00-14.00,Tierschutz - gegen Massentierhaltung,Berliner Platz,10-25,2021
2021-12-18 00:00:00,11.30-16.00,Motorradfahrer für mehr Anerkennung und Würdigung der Pflegekräfte,Motorradaufzug/Konrad Adenauer-Damm,500,2021
2021-12-19 00:00:00,14:00-18.00,Grünes Licht für Aufnahme - Solidarität mit den Geflüchteten an der polnisch-belarussischen Grenze,Aufzug/Platz der Kieler Matrosen,400,2021
2021-12-23 00:00:00,18.30-21.30,Lichterlauf als Zeichen für unseren menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,500-1000,2021
2021-12-30 00:00:00,18.30-21.30,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,500-1000,2021
2021-12-31 00:00:00,19.00-22.00,Jahreswechselunzug mit Lichtern als Zeichen des Zusammenhalts,Aufzug/Exerzierplatz,500-800,2021
2022-01-05 00:00:00,17.00-17.30,Austausch für ein besseres Leben,Hiroshimapark,5-10,2022
2022-01-06 00:00:00,18.30-21.30,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Exerzierplatz/Aufzug,500-1.000,2022
2022-01-08 00:00:00,15.00-18.00,Frauen Völkmörder in Paris,Platz der Kieler Matrosen/Aufzug,ca. 200,2022
2022-01-10 00:00:00,18.00-22.00,"Für evdenzbasierte Pandemie-Maßnahmen, Polizeifestigkeit von Versammlungen, Toleranz und Integration gegenüber/von Ungeimpften, Ungetesteten und Nicht -Genesenen",Aufzug/Kronshagen,1-99,2022
2022-01-13 00:00:00,18.30-22.00,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,1.000-1.500,2022
2022-01-17 00:00:00,17:30-22.00,"Für evdenzbasierte Pandemie-Maßnahmen, Polizeifestigkeit von Versammlungen, Toleranz und Integration gegenüber/von Ungeimpften, Ungetesteten und Nicht -Genesenen",Aufzug/Kronshagen (Bahnhof),20-99,2022
2022-01-17 00:00:00,18.00-22.00,"Frieden, Freiheit, Selbstbestimmung - für volle Integration von ungeimpften, Ungetesteten und Genesenen ins ges. Leben - keine Einsatzhundertschften gegen Spaziergänger",Aufzug/Kronshagen (Eckernförder Straße),2(!)-99,2022
2022-01-20 00:00:00,18.30-21.30,Lichterumzug für menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,1.500,2022
2022-01-22 00:00:00,12.00-13.00,Jahrestag des Inkrafttretens des Atomwaffenverbotantrages,Rathausplatz,20-30,2022
24.01.2022,14.15-15.45,Diskriminierung beenden: Gleiche Schule - gleiche Zeugnisse!,Bildungsministerium,max. 20,2022
2022-01-26 00:00:00,09.00-11.00,Wir wünschen uns ein Dialogangebot!,Landtag,20-30,2022
2022-01-27 00:00:00,18.00-20.00,Gemeinsam und solidarisch gegen Corona,Exerzierplatz,300,2022
2022-01-27 00:00:00,18.30-21.30,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Rathausplatz,1.500,2022
2022-01-27 00:00:00,19.00-21.00,Für ein buntes und solidarisches Kiel,Rathausplatz,200,2022
2022-01-27 00:00:00,18.00-21.00,Hier ist kein Platz für Querdenken und Nazis!,Reventlouwiese,150,2022
2022-01-28 00:00:00,14.00-15.30,Afghanistan nicht vergessen! Don't forget Afghanistan.,Kiellinie/Landtag,25,2022
2022-01-30 00:00:00,15.30-16.30,Mit der Erde stehen - stiller und wahrnehmender Aktivismus (öffentliche Meditation),Hiroshimapark,20,2022
2022-02-03 00:00:00,17.30-18.30,Kiel für Zusammenhalt und Solidarität,Hiroshimapark,100,2022
2022-02-03 00:00:00,18:30-21.30,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,1.500,2022
2022-02-05 00:00:00,12.00-19.00,Gesundheit für Abdullah Öcalan,Aufzug/Skatepark Mettenhof,200,2022
2022-02-06 00:00:00,12.00-19-00,Gesundheit für Abdullah Öcalan,Aufzug/Parkplatz Schleusenstraße,200,2022
2022-02-10 00:00:00,18.30-21.30,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,1.500,2022
2022-02-15 00:00:00,14.00-17.00,Gesundheit für Abdullah Öcalan,Schevenbrücke,30,2022
2022-02-17 00:00:00,19.00-21.00,Kundgebung für Wissenschaft (gegen Corona-Leugnung),Dr. Mildred Scheel-Haus/UKSH,200,2022
2022-02-17 00:00:00,18.30-21.30,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Rathausplatz,1.500,2022
2022-02-19 00:00:00,13.00-15.00,Gedenken an die Opfer des Anschlags von Hanau,Holstenbrücke,100,2022
2022-02-19 00:00:00,16.00-18.00,Gedenken an den Anschlag in Hanau 2020,Rathausplatz,100,2022
2022-02-23 00:00:00,09.00-10.30,Für eine atomwaffenfreie Welt,Landeshaus,20,2022
2022-02-23 00:00:00,09:15-10:30,Kompletter Stop der Impfpflicht-wir müssen reden!,Landeshaus,50-100,2022
2022-02-23 00:00:00,11.00-13.30,Kompletter Stop der Impfpflicht-wir müssen reden!,Kiellinie/Landtag,50-100,2022
2022-02-24 00:00:00,17.00-17.45,Kompletter Stop der Impfpflicht-wir müssen reden!,Kiellinie/Landtag mit Aufzug zum Lagom,150,2022
2022-02-24 00:00:00,18.00-19.30,Gemeisam für Freiheit - wir wollen reden!,Kiellinie/Restaurant Lagom,150,2022
2022-02-24 00:00:00,18.30-21.30,xLichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Rathausplatz,1.000-1.500,2022
2022-02-25 00:00:00,17.00-18.00,Die Waffen nieder! Zurück zu Diplomatie und Völkerrecht!,Schevenbrücke,100,2022
2022-02-25 00:00:00,19:30-31.30,Europe for Freedom Infotour,Auzug/Ostseekai,10-20 PKW,2022
2022-02-26 00:00:00,16.00-17.00,Mahnwache und Kundgebung für Solidarität mit der Ukraine und Frieden in Europa,Rathausplatz,1.000,2022
2022-02-27 00:00:00,15.30-16.30,Mit der Erde stehen - stiller und wahrnehmender Aktivismus (öffentliche Meditation),Hiroshimapark,20,2022
2022-02-28 00:00:00,?,Plakatvorstellung Grüne,Klostergarten,?,2022
2022-03-02 00:00:00,18.00-19.00,Solidarität mit den zapatistischen Gemeinden (Mexiko),Hauptbahnhof,10,2022
2022-03-02 00:00:00,09.00-11.30,Friedensmarsch,Aufzug/RBZ Königsweg-Rondeel,ca. 1.000,2022
2022-03-03 00:00:00,17.00-18.30,Für besere Arbeitsbedingungen im Sozial- und Erziehungsdienst und beom AWO-Kreisverband Kiel,Preetzer Str. 35/AWO KV Kiel,50,2022
2022-03-03 00:00:00,17.30-21.00(19.30),"Solidarität mit der Ukraine, Sofortmaßnahmen, um russisches Öl, Kohle, Gas durch erneuerbare Energie zu ersetzen ",Schevenbrücke/Europaplatz,50-500,2022
2022-03-03 00:00:00,18.30-21.30,Lichterumzug für den menschlichen und gesundheitlichen Zusammenhalt,Aufzug/Exerzierplatz,1.000-1.500,2022
2022-03-04 00:00:00,17.00-18.00,Gegen den Ukraine-Krieg,Schevenbrücke,150,2022
2022-03-05 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Berliner Platz/Wasserbecken,10-25,2022
2022-03-05 00:00:00,14.00-15.00,Musik für den Frieden in der Ukraine,Asmus Bremer-Platz/St. Nikolai,100,2022
2022-03-07 00:00:00,17.00-18.00,Protest gegen Weltkriegsgefahr,Germaniahafen/Ernst Busch-Platz,20,2022
2022-03-07 00:00:00,17.40-17.55,Mahnwache für den Frieden,Weinbergkirche,30-50,2022
2022-03-08 00:00:00,10.00-12.30,Tarifrunde Sozial- und Erziehungsdienst,Aufzug/Gewerkschaftshaus,500,2022
2022-03-08 00:00:00,16.30-20.00,Feministischer Kampftag - gegen Ausbeutung und Rassismus,Aufzug/Platz der Kieler Matrosen,ca. 200,2022
2022-03-10 00:00:00,18.30-21.30,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,1.000-1.500,2022
2022-03-12 00:00:00,11:00-?,Wahlkampfauftakt Die Grünen,Asmus Bremer-Platz,,2022
2022-03-12 00:00:00,?,Kurdischer Feiertag,Aufzug/Platz der Kieler Matrosen,,2022
2022-03-12 00:00:00,08.00-13.00,Fukushima-Jahrestag,Exerzierplatz/Knooper Weg,15,2022
2022-03-12 00:00:00,12.00-16.30,Frieden und Freiheit für die ganze Welt,Aufzug/Rathausplatz,2.500,2022
2022-03-13 00:00:00,13.00-16.00,Für Recht auf Selbstbestimmung,Aufzug/Reventlouwiese,400-500,2022
2022-03-14 00:00:00,17.30-18.00,Mahnwache für den Frieden,Weinbergkirche,40-50,2022
2022-03-15 00:00:00,18.00-20.00,Internationaler Tag gegen Polizeigewalt,4. Polizeirevier/Karlstal,10-50,2022
2022-03-17 00:00:00,17.00-19.00,Friedenssingen,Schönberger Straße/Cafe Luna,ca. 100,2022
2022-03-17 00:00:00,18.30-21-30,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,1.000-1.200,2022
2022-03-18 00:00:00,18.00-22.30,Mieten und Recht auf Stadt,Aufzug/Vinetaplatz,150,2022
2022-03-19 00:00:00,12.00-18.00,Internationaler Tag gegen Rassismus,Berliner Platz/Wasserbecken,100,2022
2022-03-20 00:00:00,16.00-20.00,Kurdisches Neujahr Newros,Aufzug/Skatepark Mettenhof,ca.300,2022
2022-03-20 00:00:00,18.30-20.00,Newrozfest,Platz der Kieler Matrosen ,bis 100,2022
2022-03-21 00:00:00,17:30-18:00,Mahnwache für den Frieden,Weinbergkirche,20-30,2022
2022-03-24 00:00:00,18.30-21.30,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,1.000-1.500,2022
2022-03-25 00:00:00,13.30-18.00,9. globaler Klimastreik,Aufzug/Exerzierplatz,2.500,2022
2022-03-25 00:00:00,13.00-14.00,Zubringerdemo zum Globalen Klimastreik,CAU-Campus,20-50,2022
2022-03-25 00:00:00,11.00-13.00,Aktuelle Kraftstoffpreisexplosion,Neumünster über A7 bis Landtag,100-150,2022
2022-03-26 00:00:00,19.00-23.00,Weltfrieden und Zusammenhalt,Rathausplatz + Aufzug,1.500-2.500,2022
2022-03-27 00:00:00,15.30-16.30,Mit der Erde stehen - stiller und wahrnehmender Aktivismus (öffentliche Meditation),Hiroshimapark,20,2022
2022-03-28 00:00:00,17.30-18.00,Mahnwache für den Frieden,Weinbergkirche,20-30,2022
2022-03-30 00:00:00,10.00-13.00,Warnstreik komba,Wendehammer Reventlouallee,50,2022
2022-03-31 00:00:00,09.00-11.00,"Kinder haben Rechte, Kinder haben nicht gewählt",Landtag,20-25,2022
2022-03-31 00:00:00,17.00-18.00,Trans*Day of Visibility,Europaplatz,ca. 50,2022
2022-03-31 00:00:00,18.00-21.00,Wir holen uns den Exerzierplatz zurück,Exerzierplatz,ca. 100,2022
2022-03-31 00:00:00,15.00-16.00,#TDoV 2022 #KIEL,Kiellinie/Landtag,3-15,2022
2022-04-01 00:00:00,14.00-16.00,Wahlkampfauftakt Die Linke,Asmus Bremer-Platz,ca. 150,2022
2022-04-01 00:00:00,16.00-19.00,Parking Day,Wilhelmplatz,20-50,2022
2022-04-01 00:00:00,18.00-19.30,CDU-Wahlkampftour,Parkplatz beim Bernhard Minetti-Platz,ca. 200,2022
2022-04-01 00:00:00,17.30-21.00,DieBASIS als neue Kraft im Landtag,Aufzug/Exerzierplatz/Asmus-Bremer-Platz,150,2022
2022-04-02 00:00:00,11.00-13.00,"Am 08.05. wählen gehen, keine Stimme für Nazis",Asmus-Bremer-Platz + Aufzug,ca. 30,2022
2022-04-02 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Berliner Platz/Wasserbecken,10-25,2022
2022-04-04 00:00:00,17.30-17.55,Mahnwache für den Frieden,Weinbergkirche,20-30,2022
2022-04-07 00:00:00,19.00-21.00,Kundgebung für Wissenschaft (gegen Corona-Leugnung),Dr. Mildred Scheel-Haus/UKSH,500,2022
2022-04-09 00:00:00,10.00-12.00,"Am 08.05. wählen gehen, keine Stimme für Nazis",Exerzierplatz,10,2022
2022-04-09 00:00:00,10.00-15.00,Abstand ist Anstand: Platz für Geh- und Radwege schaffen!,Holtenauer straße zwischen Waitz- und Schauenburgerstraße ,5-10,2022
2022-04-09 00:00:00,16.00-19.00,Besetzung von Norirak/Kurdistan,Aufzug/Platz der Kieler Matrosen,ca. 250,2022
2022-04-09 00:00:00,09.30-10.30,Ansprache des CDU-Generalsekretärs/Bund,Exerzierplatz/wochenmarkt,30,2022
2022-04-09 00:00:00,13.00-16.00,Politik in Europa (Volt),Aufzug/Asmus Bremer-Platz,40,2022
2022-04-09 00:00:00,13.00-16.00,Politik in Europa (Volt),Aufzug/Asmus Bremer-Platz,40,2022
2022-04-11 00:00:00,15.30-17:00,BAföG-Reform,Kiellinie/Landtag,25-50,2022
2022-04-11 00:00:00,17.30-18.00,Mahnwache für den Frieden,Weinbergkirche,20-30,2022
2022-04-12 00:00:00,14.30-16.00,Rede des Spitzenkandidaten Daniel Günther zur Landtagswahl,Bahnhofsplatz,200,2022
2022-04-14 00:00:00,18.00-20.00,Townhall-Versammlung Die Grünen,Blücherplatz,250-500,2022
2022-04-16 00:00:00,12.00-13.00,"Traditioneller Ostermarsch, Aktuelles aus der Friedenspolitik",Aufzug/Schevenbrücke,100,2022
2022-04-16 00:00:00,12.00-14.00,"Traditioneller Ostermarsch, Aktuelles aus der Friedenspolitik",Aufzug/Schevenbrücke,100,2022
2022-04-22 00:00:00,19.30-22.00,Lichterumzug für den menschlichen und gesellschaftlichen Zusammenhalt,Aufzug/Exerzierplatz,500-1.000,2022
2022-04-23 00:00:00,11.00-13.00,"Am 08.05. wählen gehen, keine Stimme für Nazis",Asmus-Bremer-Platz + Aufzug,ca. 30,2022
2022-04-23 00:00:00,10.00-12.00,"Am 08.05. wählen gehen, keine Stimme für Nazis",Exerzierplatz,10,2022
2022-04-23 00:00:00,11.00-13.00,Bessere Bezahlung der Servicebeschäftigten am UKSH - Ver.di fordert von der neuen Landesregierung Rückkehr in den TV der Länder,Aufzug/Platz der Kieler Matrosen,200,2022
2022-04-23 00:00:00,11.00-17.00,Wohnen ist ein Menschenrecht,Aufzug/Platz der Kieler Matrosen,500-1.500,2022
2022-04-23 00:00:00,11.00-15.00,Mahnwache zur Information zur Landtagswahl,Hörnbrücke/Blauer Engel,100-200,2022
2022-04-24 00:00:00,15.00-16.30,"Gedenkmarsch zum Todesmarsch und ""Arbeitserziehungslager"" Nordmark","Gedenkstein ""Arbeitserziehungslager""",40-100,2022
2022-04-24 00:00:00,15.30-16.30,Mit der Erde stehen - stiller und wahrnehmender Aktivismus (öffentliche Meditation),Hiroshimapark,20,2022
2022-04-25 00:00:00,17.30-18.00,Mahnwache für den Frieden,Weinbergkirche,20-30,2022
2022-04-25 00:00:00,18.00,Tükischer Angriff auf Kurdistan mit Chemiewaffen,Bahnhofsplatz,n. n.,2022
2022-04-28 00:00:00,15.00-19.00,Fight Terror - Support Israel!,Beliner Platz/Wasserbecken,10-25,2022
2022-04-29 00:00:00,17.00-22.00,Zum Feiern braucht Mensch kein Auto,Bergstraße,200-300,2022
2022-04-29 00:00:00,17.00-19.00,Friedenssingen ,Lunaplatz,ca. 100,2022
2022-04-29 00:00:00,08.45-10.15,Überreichung gemeinsamer agrarpolitischer Forderungen an Landtagsabgeordnete,Landeshaus,20-50,2022
2022-04-30 00:00:00,10.00-12.00,"Am 08.05. wählen gehen, keine Stimme für Nazis",Exerzierplatz,10,2022
2022-04-30 00:00:00,14.00-20.00,Wahlkampfhöhepunkt Grüne Jugend,Fördeblick-Park,70-80,2022
2022-04-30 00:00:00,21.00-24.00,Schutz der Meere,Aufzug/Klosterplatz,100,2022
2022-04-30 00:00:00,16.00-18.00,Stopp der Palästinenser-Unterdrückung und Angriffe auf die Al-Aqsa-Moschee in Jerusalem ,Aufzug/Bootshafen,400,2022
2022-05-01 00:00:00,05.00-15.00,Tag der Arbeit,Legienstraße/Exerzierplatz,2.500-3.000,2022
2022-05-01 00:00:00,08.30-10.00,Tag der Arbeit,Bootshafen,200,2022
2022-05-01 00:00:00,15.00-16.00,Cinemare Ocean Parade,Welcome Center,100-500,2022
2022-05-01 00:00:00,12.00-17.00,Feiertage auf werktags verschieben,Germaniahafen,100,2022
2022-05-01 00:00:00,09.00-15.00,1. Mai IG Metall,Platz der Kieler Matrosen/Bahnhofsplatz,100,2022
2022-05-02 00:00:00,17.30-18.00,Mahnwache für den Frieden,Weinbergkirche,20-30,2022
2022-05-04 00:00:00,18.00-19.30,R.Lang/O. Nouripur/A. Toure/L. Petersdotter,Reventlouwiese,50-150,2022
2022-05-04 00:00:00,16.00-16.30,Befreiung des AEL Nordmark,ehem. AEL Nordmark,20-30,2022
2022-05-06 00:00:00,17.00.18.30,Wahlkampf SPD,Rathausplatz,500,2022
2022-05-06 00:00:00,13.30-18.00,Landesweiter Klimastreik zur Landtagswahl,Aufzug/Exerzierplatz,7.500,2022
2022-05-06 00:00:00,13.00-14.00,Zubringerdemo zur Fridays for future Kundgebung,CAU-Campus,20-50,2022
2022-05-06 00:00:00,13:15-14.00,Zubringerdemo People for Future Kiel,Am Seefischmarkt 1-5,100-200,2022
2022-05-06 00:00:00,13:15-14.00,Zubringer-Demo Waldorfschule/FFF,Cafe Knuust/Hofholzallee 22,300,2022
2022-05-06 00:00:00,17.30-20.30,Wahlkampf-Abschluss Die Basis,Berliner Platz/Wasserbecken,100-150,2022
2022-05-06 00:00:00,11.00-11.30,Für eine Mietpreisbremse,Landeshaus,10,2022
2022-05-07 00:00:00,10.00-12.00,"Am 08.05. wählen gehen, keine Stimme für Nazis",Exerzierplatz,10,2022
2022-05-07 00:00:00,11.00-12.30,FDP-Abschlussveranstaltung Landtagswahl 2022,Rathausplatz,200,2022
2022-05-07 00:00:00,11.00-13.00,Bessere Bezahlung der Servicebeschäftigten am UKSH - Ver.di fordert von der neuen Landesregierung Rückkehr in den TV der Länder,Aufzug/Platz der Kieler Matrosen,200,2022
2022-05-07 00:00:00,14.30-16.30,Den rechten Wahlkampf durchleuchten! Die Rechten sind nicht die Lösung der Krise!,Berliner Platz/Wasserbecken,30,2022
2022-05-07 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Berliner Platz/Wasserbecken,10-25,2022
2022-05-07 00:00:00,16.00-17.00,Gedenken an das Ende des 2. Weltkrieges,Kiel War Cemetry,5-10,2022
2022-05-08 00:00:00,13.30-16.00,Seenotrettung als humanitäre Pflicht,Kiellinie A6/B1,5-10,2022
2022-05-08 00:00:00,15.00-18.00,Frieden im Ukraine-Krieg/Auto-Corso,Aufzug/Exerzierplatz,1-3 Autos,2022
2022-05-09 00:00:00,18.00-21.00,Gedenken an verstorbenen Menschen in Mannheim am 2. Mai,Aufzug/Platz der Kieler Matrosen,60,2022
2022-05-12 00:00:00,10.00-12.00,Streik Sozial- und Erziehungsdienst,Aufzug/Gewerkschaftshaus,ca. 500,2022
2022-05-12 00:00:00,16.00-18.00,Internationaler Tag der Pflegenden - für bessere Arbeitsbedingungen,Platz der Kieler Matrosen ,50,2022
2022-05-14 00:00:00,11.00-13.00,Kinder aufs Rad - Kidical Mass Kiel,Aufzug/Wilhelmplatz,100-200,2022
2022-05-15 00:00:00,13.00-15.00,Drag-Walk,Aufzug/Bahnhofsplatz,ca. 50,2022
2022-05-19 00:00:00,15.00-16.30,Freiräume in Kiel,Rathausplatz,10,2022
2022-05-21 00:00:00,10.00-17.00,Verfolgung von Falun Dafa und die Verbrechen der Kommunistischen Partei Chinas,Schevenbrücke,3-5,2022
2022-05-24 00:00:00,11.00,"Freiheit für Hossein N., Abschiebegefangener in Glückstadt",Stresemannplatz 5/Neues Rathaus,10-20,2022
2022-05-25 00:00:00,13:00:00,"Freiheit für Hossein N., Abschiebegefangener in Glückstadt",Innenministerium,10-20,2022
2022-05-26 00:00:00,22:10-?,Ruhestörung verbieten,Aufzug/Schrevenpark,ca. 50,2022
2022-05-27 00:00:00,13.00-15.30,"Klimagerechtigkeit, Fridays for Future",Aufzug/Platz der Kieler Matrosen,ca. 500,2022
2022-05-28 00:00:00,14:00-16:00,"Bleiberecht für Hossein! Abschiebungen stoppen, Abschiebegefängnis schließen!",Aufzug/Sophienblatt 44-46,ca. 100,2022
2022-06-01 00:00:00,16.00-17.00,TVStud in den Koalitionsvertrag,Alter Markt 9,ca. 30,2022
2022-06-04 00:00:00,10.00-17.00,Verfolgung von Falun Dafa und die Verbrechen der Kommunistischen Partei Chinas,Schevenbrücke,3-5,2022
2022-06-04 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Reventlouwiese,10-25,2022
2022-06-09 00:00:00,17.00-18.00,Angriffe des türkischen Staates auf Südkurdistan,Asmus Bremer-Platz,30-40,2022
2022-06-10 00:00:00,20.30-24.00,Alternative Wohnformen und Freiräume in Kiel und anderswo,Germaniahafen,50,2022
2022-06-13 00:00:00,12.00-15.00,"Koalitionsverhandlungen, Klimaschutz",Landeshaus,3-15,2022
2022-06-16 00:00:00,10.00-18.00,Parking-Day,Olshausenstraße/Uni,ca. 300,2022
