Datum,Ende,Ort,Thema
2019-11-08,2019-11-08,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-11-09,2019-11-09,Grasmarkt,Blockade der USA gegen Cuba
2019-11-09,2019-11-09,Ulrichsplatz - Ziegenmarkt,Klimaschutz
2019-11-09,2019-11-09,vor der ÖVB-Arena,Aufklärung über das Tierleid hinter dem Fischfang
2019-11-09,2019-11-09,Oberer Domshof,Palästinamahnwache
2019-11-09,2019-11-09,Hanseatenhof,Veganismus
2019-11-09,2019-11-09,"Verdenerstraße über Bahnhofsvorplatz zum Marktplatz, Waller Bahnhof über Radio Bremen zum Marktplatz, Flughafen über Delmemarkt zum Marktplatz",Stoppt Erdogan! Solidarität mit Rojava!
2019-11-09,2019-11-09,Marktplatz,Anti-Pelz-Aktion
2019-11-10,2019-11-10,Marktplatz über Westerstraße zurück zu Marktplatz,feierlicher Gedenkmarsch zum 101. Jahrestag der Unabhängigkeit Polens
2019-11-10,2019-11-10,Bahnhofsvorplatz,Gedenktag von Mustafa Kemal Atatürk
2019-11-11,2019-11-11,Marktplatz,Klimaschutz
2019-11-12,2019-11-12,Bahnhofsvorplatz in Vegesack,"Humanitäre Hilfe für Rojaya!!! Die Frauen rufen, Stoppt den Krieg der Türkei gegen Rojava/Nordsyrien!!! - Sofort!!"
2019-11-12,2019-11-12,Marktplatz,Klimaschutz
2019-11-13,2019-11-13,Goetheplatz  ,Solidarität für Chile
2019-11-14,2019-11-14,Liebfrauenkirchhof/Ecke Sögestraße,Donnerstagsmahnwache
2019-11-14,2019-11-14,Oberer Domshof,Kinderrechte (Projekt: Kinder dieser Welt)
2019-11-14,2019-11-14,Bahnhofsvorplatz,Humanitäre Hilfe für Rojava!!! Stoppt den Krieg der Türkei gegen Rojava/Nordsysrien!!
2019-11-14,2019-11-14,Marktplatz,künstlerische Darstellung des Logos von XR (Sanduhr im Kreis) durch liegende Personen
2019-11-14,2019-11-14,Kreuzung: Bahnhofstraße/Breitenweg; Bürgermeister-Smidt-Straße/Martinistraße/Am Brill,Bekleidung ohne Tierqual
2019-11-15,2019-11-15,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-11-15,2019-11-15,Bremer Innenstadt,Zusammenhänge zwischen Massenproduktion im Modesektor und Menschenrechten
2019-11-15,2019-11-15,Domshiede vor Hausnummer 8,Rüstungshochburg Bremen
2019-11-15,2019-11-15,Marktplatz,Humanitäre Hilfe für Rojava!!! Stoppt den Krieg der Türkei gegen Rojava/Nordsysrien!!
2019-11-15,2019-11-15,Oberer Domshof,"Mehr Klimaschutz, Jetzt!"
2019-11-16,2019-11-16,Grasmarkt,Erinnerung an die Novemberrevolution 1918
2019-11-16,2019-11-16,Goetheplatz,Freiheit für die politischen Gefangenen in Spanien
2019-11-16,2019-11-16,Hanseatenhof,aktuelle Situation in Bolivien
2019-11-16,2019-11-16,Marktplatz,Kundgebung anlässlich ds internationalen Tages der Kinderrechte
2019-11-16,2019-11-16,Oberer Domshof,Palästinamahnwache
2019-11-17,2019-11-17,Bremer Marktplatz,Solidarität für Chile
2019-11-18,2019-11-18,Dom Richtung jüdische Gemeinde ,Gedenken an die Deportation der Juden aus Bremen am 18.11.1941
2019-11-20,2019-11-20,Domsheide (rechts neben der Glocke),Transgender Day of Remembrance
2019-11-20,2019-11-20,Lindenstr. 21 in Vegesack (vor dem SPD-Gebäude),Klimaschutz
2019-11-21,2019-11-21,Liebfrauenkirchhof/Ecke Sögestraße,Donnerstagsmahnwache
2019-11-22,2019-11-22,Theater am Goetheplatz,"Mehr Klimaschutz, JETZT!"
2019-11-22,2019-11-22,Domsheide (rechts neben der Glocke),Unterstützung der Demonstranten im Iran
2019-11-22,2019-11-22,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-11-23,2019-11-23,Domsheide (Glocke),Freiheit für die politischen Gefangenen in Spanien
2019-11-23,2019-11-23,Vorplatz des Übersee-Museums Richtung Goetheplatz,Stoppt den Krieg der Türkei gegen Rojava/Nordsyrien!!!
2019-11-23,2019-11-23,Kapitel 8,Palästinamahnwache
2019-11-24,2019-11-24,Goetheplatz,Gewährleistung der Grundrechte im Iran
2019-11-24,2019-11-24,Flughafen Terminal 1,Versuchstiertransporte durch Air France-KLM
2019-11-25,2019-11-25,Sügestraße bei dem Schweinehirten,Internationaler Tag gegen Gewalt an Frauen
2019-11-25,2019-11-25,Allianz Gebäude auf der Straße Flughafenallee 13-15,Kundgebung und aktive Mittagspause Allianz Versicherung
2019-11-27,2019-11-27,Schnoor,Klimaschutz
2019-11-27,2019-11-27,Fläche vor dem Überseemuseum,Humanitäre Hilfe für Rojava!!! Stoppt den Krieg der Türkei gegen Rojava/Nordsysrien!!
2019-11-27,2019-11-27,"Teerhof 59, 28199 Bremen",Protest der Beschäftigten gegen Standortschließungen BCD Travel Germany
2019-11-28,2019-11-28,Liebfrauenkirchhof/Ecke Sögestraße,Donnerstagsmahnwache
2019-11-29,2019-11-29,am Altenwall,Wintermarkt am Global Day of Climate Action
2019-11-29,2019-11-29,Bürgerweide durch Bremen Mitte Richtung Bürgerweide,Globaler Klimastreik
2019-11-29,2019-11-29,Paul-Singer-Straße Richtung Marktplatz Berliner Freheit,Klimastreik
2019-11-29,2019-11-29,Schule bis zur Bürgerweide,Landshuter Straße Richtung Bürgerweide
2019-11-29,2019-11-29,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-11-30,2019-11-30,Domsheide (neben der Glocke),Freiheit für die politischen Gefangenen in Spanien
2019-11-30,2019-11-30,Bahnhofsvorplatz,gesellschaftspolitische Themen im Einklang mit der Bibel
2019-11-30,2019-11-30,Üebrseemuseum Richtung Domshof,Stoppt den Krieg der Türkei gegen Rojava/Nordsyrien.
2019-11-30,2019-11-30,Kapitel 8,Palästinamahnwache
2019-12-01,2019-12-01,Domsheide (neben der Glocke),zur Menschenrechtslage in der Türkei
2019-12-02,2019-12-02,Hanseatenhof,Bremer Montagsdemonstration
2019-12-03,2019-12-03,Fläche vor dem Überseemuseum,Kurdische Gemeinde in Bremen ruft zu Protesten wegen gestrigen Massaker auf Tel Rfat in Nordsyrien auf.
2019-12-03,2019-12-03,Duckwitzstraße 67/69,"Gedenken an die Zwangsarbeiter/Kriegsgefangenen, die am 03.12.1941 in das Lager auf dem Grunstück in der Duckwitzstraße 65-69 gebracht worden."
2019-12-03,2019-12-03,Sögestraße/Ecke Knochenhauerstraße,Klimaschutz
2019-12-04,2019-12-04,Fläche vor dem Überseemuseum,Humanitäre Hilfe für Rojava!!! Stoppt den Krieg der Türkei gegen Rojava/Nordsysrien!!
2019-12-05,2019-12-05,Liebfrauenkirchhof/Ecke Sögestraße,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-12-05,2019-12-05,"Martinistr. 43, Haus der Bremer Tageszeitungen AG",Haustarifvertrag für den Weser Kurier
2019-12-06,2019-12-06,Fläche vor dem Überseemuseum,"Mehr Klimaschutz, JETZT!"
2019-12-06,2019-12-06,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-12-07,2019-12-07,"Domsheide, Höhe Kapitel 8",Aufklärung über vegane Ernährung
2019-12-07,2019-12-07,Am Brill Richtung unterer Domshof,Stoppt den Krieg der ürkei gegen Rojava/Nordsyrien!!!
2019-12-07,2019-12-07,Sögestraße über Hauptbahnhof und Ostertorsteinweg  Richtungs Domsheide,Klimawandel
2019-12-07,2019-12-07,Domsheide (neben der Glocke),Freiheit f ür die katalanischen politischen Gefangenen
2019-12-07,2019-12-07,Ansgarikirchhof,Veganismus
2019-12-07,2019-12-07,Oberer Domshof,Palästinamahnwache
2019-12-10,2019-12-10,Ziegenmarkt Richtung Am Dom,"""Gegen Rechts"""
2019-12-11,2019-12-11,Übersee-Museum Hauptbahnhof,Humanitäre Hilfe für Rojava
2019-12-10,2019-12-10,Sögestraße beim Schweinehirten,Klimaschutz
2019-12-12,2019-12-12,Liebfrauenkirchhof/Ecke Sögestraße,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-12-13,2019-12-13,Übersee-Museum am Hauptbahnhof,"Mehr Klimaschutz, JETZT!"
2019-12-13,2019-12-13,Pieperstr.8,Standards Europäische Masthun-Initiative
2019-12-13,2019-12-13,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-12-14,2019-12-14,"Domsheide 8, 28195 Bremen",Bremer OMAS GEGEN RECHTS
2019-12-14,2019-12-14,Oberer Domshof,Palästinamahnwache
2019-12-14,2019-12-14,Domsheide (rechts neben der Glocke),Freiheit für die katalanischen politischen Gefangenen
2019-12-14,2019-12-14,Hbf - Domshof,Menschenkette in Solidarität mit dem Widerstand in Rojava
2019-12-15,2019-12-15,Doventorsteinweg - Brill - Wilhelm-Kaisen-Brücke - Sielwallkreuzung,Wagenplätze
2019-12-17,2019-12-17,Obernstraße/Ecke Pieperstraße,Klimaschutz
2019-12-19,2019-12-19,Glocke,Solidarität mit den weltweiten Protesten
2019-12-19,2019-12-19,Liebfrauenkirchhof/Ecke Sögestraße,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-12-20,2019-12-20,"Domsheide 8, 28195 Bremen",Rüstungshochburg Bremen
2019-12-20,2019-12-20,Übersee-Museum am Hauptbahnhof,"Mehr Klimaschutz, JETZT!"
2019-12-21,2019-12-21,Ansgarikirchhof,Veganismus
2019-12-21,2019-12-21,Oberer Domshof,Palästinamahnwache
2019-12-27,2019-12-27,Marktplatz,Veganismus
2019-12-27,2019-12-27,Fläche vor dem Überseemuseum,"Mehr Klimaschutz, JETZT!"
2019-12-27,2019-12-27,nahe zum Eingang der ÖVB-Arena,Pferde sind keine Entertainer
2019-12-27,2019-12-27,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-12-28,2019-12-28,Oberer Domshof,Palästinamahnwache
2020-01-02,2020-01-02,Liebfrauenkirchhof/Ecke Sögestraße,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2020-01-03,2020-01-03,Marktplatz,"Mehr Klimaschutz, JETZT"
2020-01-03,2020-01-03,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-01-04,2020-01-04,Oberer Domshof (vor den Domtreppen),Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-01-04,2020-01-04,Pieperstraße/Ecke Obernstraße,Veganismus
2020-01-06,2020-01-06,Marktplatz,Bremer Montagsdemonstration
2019-01-07,2019-01-07,Gerhard-Marcks-Hauses auf der Fläche Richtung Kunsthalle,Gedenkkundgebung zum Todestag von Laye-Alama Condé
2020-01-07,2020-01-07,Wilhelm-Kaisen-Brücke 1/Martinistraße,"Informationsveranstaltung vor dem Gebäude von ""Kühne + Nagel"" "
2020-01-09,2020-01-09,Marktplatz,Kein Krieg gegen den Iran
2020-01-09,2020-01-09,Liebfrauenkirchhof/Ecke Sögestraße,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2020-01-10,2020-01-10,Bahnhofsvorplatz Richtung Siemensstandort Universitätsallee 16,gegen Beteiligung des Siemenskonzerns an der australischen Kohleförderung durch die Bereitstellung von Eisenbahnlogistik
2020-01-10,2020-01-10,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-01-11,2020-01-11,Marktplatz,Freiheit für die politischen Gefangenen in Spanien
2020-01-11,2020-01-11,Oberer Domshof (vor den Domtreppen),Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-01-11,2020-01-11,Goetheplatz 4 Richtung Marktplatz,18. Jahrestag der Errichtung des Lagers Guantanamo
2020-01-13,2020-01-13,Marktplatz,Social for Future - für einen sozial ausgerichteten Klimaschutz
2020-01-16,2020-01-16,Liebfrauenkirchhof/Ecke Sögestraße,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2020-01-16,2020-01-16,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-01-16,2020-01-16,Kreuzung: Bahnhofstraße/Breitenweg,Vegan fürs Klima und die Tiere
2020-01-17,2020-01-17,Marktplatz,Forderung der Landwirtschaft
2020-01-17,2020-01-17,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-01-18,2020-01-18,Marktplatz,Wo gehöre ich hin?
2020-01-18,2020-01-18,Hanseatenhof,Veganismus
2020-01-16,2020-01-16,Marktplatz,Gedenken an die Menschen des Flugzeugabsturzes am 08.01.2020 in der Ukraine
2020-01-17,2020-01-17,Domsheide,Rüstungshochburg Bremen
2020-01-18,2020-01-18,Domsheide,Internationale Protestwoche für die Freheit der politischen Gefangenen aufgrund der sozialen Revolte in Chile
2020-01-18,2020-01-18,Oberer Domshof (vor den Domtreppen),Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-01-23,2020-01-23,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-01-23,2020-01-23,Liebfrauenkirchhof/Ecke Sögestraße,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2020-01-24,2020-01-24,Delmemarkt Richtung Parteibüro Buntentorsteinweg 109,mehrfache Sachbeschädigung des Parteibüros in Buntentorsteinweg
2020-01-24,2020-01-24,Marktplatz,Landwirtschaft im Bezug zum Klimawandel
2020-01-24,2020-01-24,Bahnhofsvorplatz,Solidarität mit dem syrischen Zivilisten in Idlib
2020-01-24,2020-01-24,Marktplatz,Fridays gegen Altersarmut! Arm trotz Rente!
2020-01-24,2020-01-24,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-01-25,2020-01-25,Oberer Domshof   ,Freiheit für die politischen Gefangenen in Spanien und Julian Assange
2020-01-25,2020-01-25,Oberer Domshof (vor den Domtreppen),Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-01-27,2020-01-27,Am Brill (Affentor) Richtung Walsroderstraße bis Hausnummer 7,Gedenkspaziergang für die Opfer des Nationalsozialismus
2020-01-29,2020-01-29,Oberer Domshof,Forderung nach einem Tarifvertrag für studentische Hilfskräfte an den Hochschulen
2020-01-30,2020-01-30,Liebfrauenkirchhof/Ecke Sögestraße,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2020-01-30,2020-01-30,Marktplatz,Gegen die Todesstrafe
2020-01-30,2020-01-30,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-01-31,2020-01-31,vor dem Siemensgebäude in der Universitätsallee 16,gegen die Unterstützung des Kohleabbaus in Australien durch due Siemens-Tochterfirma
2020-01-31,2020-01-31,Marktplatz,Klimaneutrales Bremen 2030
2020-01-31,2020-01-31,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-02-01,2020-02-01,Oberer Domshof (vor dem Rathaus),Klimaschutz
2020-02-01,2020-02-01,Oberer Domshof (vor den Domtreppen),Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-02-01,2020-02-01,Goetheplatz   ,Freiheit für die katalansichen politischen Gefangenen in Spanien
2020-02-01,2020-02-01,Hanseatenhof,Veganismus
2020-02-02,2020-02-02,Waller Friedhof,Gedenkgang zur Erinnerung an die Verteidiger der Bremer Räterepublik
2020-02-03,2020-02-03,Marktplatz,Bremer Montagsdemonstration
2020-02-04,2020-02-04,vor der Inneren Mission,Keine Gewalt gegen Minderjährige
2020-02-06,2020-02-06,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-02-06,2020-02-06,Grasmarkt (zwischen Rathaus und Dom),Neujahrsempfang der Bundeswehr
2020-02-06,2020-02-06,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2020-02-07,2020-02-07,Fußweg Hochschulring Höhe biologischer Garten Uni,Tierversuche
2020-02-07,2020-02-07,Marktplatz,Klimaneutrales Bremen 2030 im Bezug zur Industrie
2020-02-07,2020-02-07,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-02-07,2020-02-07,Bahnhofsvorplatz Richtung Schnellrestaurant Nordsee,anlässlich der Tarifverhandlungen in der Systemgastronomie
2020-02-08,2020-02-08,Marktplatz,Menschenrechte und Unterdrückung von bestimmten Ethnien
2020-02-08,2020-02-08,Oberer Domshof (vor den Domtreppen),Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-02-08,2020-02-08,Bahnhofsvorplatz Richtung Schnellrestaurant Nordsee,anlässlich von Tarifverhandlung in der Systemgastronomie
2020-02-08,2020-02-08,Hanseatenhof,Veganismus
2020-02-08,2020-02-08,Marktplatz,Freiheit für die politischen Gefangenen in Spanien
2020-02-08,2020-02-08,Grasmarkt,Mahnwache und Infostand -Menschenrechtsverletzungen in der Türkei
2020-02-19,2020-02-19,Bürgerweide in Richtung Marktplatz,Forderung nach Entlastung für Lehr- und Pädagogische Fachkräfte an Schulen
2020-02-09,2020-02-09,Bahnhofsvorplatz,Speziesismus
2020-02-27,2020-02-27,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2020-02-11,2020-02-11,Marktplatz,"Klimaschutz, Haushaltsverhandlungen"
2020-02-12,2020-02-12,Grasmarkt,Haushaltsverhandlungen Bremen
2020-02-13,2020-02-13,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-02-13,2020-02-13,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2020-02-14,2020-02-14,unterer Domshof,One Billion Rising - Tanzen gegen Gewalt an Frauen und Mädchen
2020-02-14,2020-02-14,Marktplatz,anlässlich des 476. Schaffermahls
2020-02-14,2020-02-14,Mar (zwischen Schütting und Rathaus),"Erneuerbare Energien stärken, Windenergie nicht abwürgen, schneller Ausstieg aus Kohleverstromung"
2020-02-14,2020-02-14,Marktplatz,Klimaneutrales Bremen 2030
2020-02-14,2020-02-14,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-02-15,2020-02-15,Bahnhofsvorplatz,Folgen der Klimakrise
2020-02-15,2020-02-15,Unser Lieben Frauen Kirchhof,Freiheit für die politischen Gefangenen in Spanien
2020-02-18,2020-02-18,Grasmarkt,"Klimaschutz, Haushaltsverhandlungen"
2020-02-21,2020-02-21,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-02-22,2020-02-22,Oberer Domshof (vor den Domtreppen),Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-02-22,2020-02-22,Marktplatz,Veganismus
2020-02-20,2020-02-20,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-02-20,2020-02-20,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2020-02-21,2020-02-21,"Bürgermeister-Smidt-Straße 95, 28195 Bremen; neben dem Haupteingang der AOK",Tarifverhandlungen bei der AOK
2020-02-21,2020-02-21,Marktplatz,Mahnwache gegen Altersarmut
2020-02-21,2020-02-21,"Domsheide 8, 28195 Bremen",Rüstungshochburg Bremen
2020-02-21,2020-02-21,Lindenstraße/Ecke Otto-Friese-Straße,Solidaritätsbekundung für die Opfer des rassistischen und des rechtsterroristischen Anschlags in Hanau
2020-02-22,2020-02-22,Verdener Straße/Hamburger Straße-Am Wall/Altenwall,United we fight- Schulter an Schulter gegen Repression
2020-02-23,2020-02-23,Terminal 1 im Flughafen Bremen,Versuchstiertransporte durch Air France-KLM
2020-02-25,2020-02-25,Delmemarkt,Gedenkkundgebung für Mehmet Turgut - vom NSU ermordet
2020-02-08,2020-02-08,Grasmarkt,Mahnwache und Infostand -Menschenrechtsverletzungen im Iran
2020-02-27,2020-02-27,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-02-28,2020-02-28,"Pieperstraße 8, 28195 Bremen",Für die Einhaltung der Standards der Europäischen Masthuhn-Initiative und gegen die Tierschutzstandards von Subway
2020-02-28,2020-02-28,Marktplatz,Klimaneutrales Bremen in Bezug zum Bau
2020-02-28,2020-02-28,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-02-29,2020-02-29,Oberer Domshof (vor den Domtreppen),Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-02-29,2020-02-29,Marktplatz,Veganismus
2020-03-02,2020-03-02,Ansgarikirchhof,Bremer Montagsdemonstration
2020-03-03,2020-03-03,Haupteingang des Rathauses (Grasmarkt),Personalratswahlen Öffentlicher Dienst 2020
2020-03-03,2020-03-03,Marktplatz,Solidarität mit den Geflüchteten an der türkisch-griechischen Grenze
2020-03-04,2020-03-04,Brinkumer Str. 8,Mietnomaden
2020-03-05,2020-03-05,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-03-05,2020-03-05,Hanna-Kunath-Straße/Heinrich-Focke-Straße,Solidarität mit den Molkereien gegenüber der Marktgestaltung des Leh
2020-03-05,2020-03-05,Ziegenmarkt-Marktplatz,Vorfälle an der EU-Außengrenze in Griechenland
2020-03-05,2020-03-05,Marktplatz,Donnerstagsmahnwache
2020-03-06,2020-03-06,Marktplatz,Speziesismus
2020-03-06,2020-03-06,Marktplatz,Feminists for Future
2020-03-06,2020-03-06,Friedrich-Ebert-Straße - Klinikum links der Weser,",,Climate Justice is Gender Equality"""
2020-03-06,2020-03-06,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-03-07,2020-03-07,Grasmarkt,Menschenrechtsverletzungen an Frauen
2020-03-07,2020-03-07,vor den Domtreppen,Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-03-07,2020-03-07,Marktplatz,Freiheit für die politischen Gefangenen in Spanien
2020-03-07,2020-03-07,Marktplatz,Klimaschutz
2020-03-07,2020-03-07,Kapital 8 - Rathaus,Bremer OMAS GEGEN RECHTS
2020-03-08,2020-03-08,Goetheplatz-Am Dobben,Internationale Frauentag am 8.3.2020
2020-03-08,2020-03-08,"Ecke St. Pauli Passage, Ostertorsteinweg",Infostand um auf das Streickfrühstück des Frauen*streickbündnisses hinzuweisen
2020-03-10,2020-03-10,Marktplatz,61. Jahrestag des tibetischen Volksaufstandes
2020-03-11,2020-03-11,Bahnhofsvorplatz,Solidarität mit der Musikgruppe Yorum
2020-03-11,2020-03-11,"Ohlenhof 14, 28239",Tarifgespräch Bremer Bäder
2020-03-11,2020-03-11,Marktplatz,Gedenken an die Atomkatastrophe in Fukushima
2020-03-12,2020-03-12,Bahnhofsplatz,Protest gegen weitere Verwendung von Handschellen gegen Minderjährige
2020-03-12,2020-03-12,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-03-12,2020-03-12,Marktplatz,Donnerstagsmahnwache
2020-03-13,2020-03-13,Marktplatz,Verkehrswende in Bremen
2020-03-13,2020-03-13,Festplatz an der dicken Eiche,Aufklärung über das Leben von Zirkustieren
2020-03-13,2020-03-13,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-03-14,2020-03-14,Bahnhofsvorplatz,Veganismus
2020-03-14,2020-03-14,Festplatz an der dicken Eiche,Aufklärung über das Leben von Zirkustieren
2020-03-14,2020-03-14,vor den Domtreppen,Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-03-15,2020-03-15,Festplatz an der dicken Eiche,Aufklärung über das Leben von Zirkustieren
2020-03-16,2020-03-16,"Hillmannplatz, 28195 Bremen",Tarifverhandlungen in der Metall- und Elektroindustrie
2020-03-16,2020-03-16,Marktplatz,Gedenken an den Genozid in Halabaja (Südkurtistan)
2020-03-17,2020-03-17,Bremer Rathaus (Grasmarkt),"Forderung bedarfsgerechte Finanzierung der Einrichtungen, die die Teilhabe von Mädchen und Frauen ermöglichen"
2020-03-17,2020-03-17,Bahnhofsvorplatz Richtung Präsident-Kennedy Platz,"gegen den Bau des neuen Kraftwerkes ""Datteln Iv"""
2020-03-18,2020-03-18,Glocke an der Domsheide,Solidarität mit politischen Gefangenen weltweit
2020-03-19,2020-03-19,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-03-19,2020-03-19,Marktplatz,Donnerstagsmahnwache
2020-03-20,2020-03-20,"Domsheide 8, 28195 Bremen",Rüstungshochburg Bremen
2020-03-20,2020-03-20,Unterer Domshof,"Newroz, Frieden der Völker"
2020-03-20,2020-03-20,"auf der Bahrsplate, Fähranleger Blumenthal",Kurdisches Neujahrsfest
2020-03-20,2020-03-20,Marktplatz,Nachhaltige Ernährung in Bremen
2020-03-20,2020-03-20,Café Sand,Kurdisches Neujahrsfest
2020-03-20,2020-03-20,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-03-21,2020-03-21,Kapitel 8,"Für die Rechte und die Freiheit der politischen Gefangenen weltweit, anlässlich des Tages der politischen Gefangengenen am 18. März"
2020-03-21,2020-03-21,Hanseatenhof,Veganismus
2020-03-21,2020-03-21,Marktplatz,Veranstaltung zum Welt-Dowm-Syndrom-Tag 2020
2020-03-21,2020-03-21,vor den Domtreppen,Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-03-22,2020-03-22,Bürgerweide-Oberschule am Leibnizplatz,Platz da für die nächste Demonstration
2020-03-26,2020-03-26,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-03-26,2020-03-26,Marktplatz,Donnerstagsmahnwache
2020-03-27,2020-03-27,Marktplatz,Klimabildung in Bremen
2020-03-27,2020-03-27,Lindenstraße,"Schließung der Einrichtung in der Lindenstraße 110, verbunden mit der Forderung nach einem angemessenen Schutz vor der Corona Pandemie für die jetztigen Bewohner*innen"
2020-03-27,2020-03-27,Obernstraße-Haltestelle am Brill,Tierschutz/gegen Massentierhaltung
2020-03-27,2020-03-27,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-03-28,2020-03-28,Marktplatz,Veganismus
2020-03-28,2020-03-28,Marktplatz,Bürgerantrag Mietendeckel Bodendeckel
2020-03-28,2020-03-28,Ulrichsplatz im Ostertor,Umbennung der BSAG-Haltestelle Wulvesstraße
2020-03-28,2020-03-28,vor den Domtreppen,Gegen den Import von Früchten aus den von Israel besetzen Gebieten
2020-03-31,2020-03-31,Marktplatz,Gesellschaftliche Sichtbarkeit und Anerkennung von Trans*Geschlechtlichkeit
2020-04-02,2020-04-02,Kreuzung: Bahnhofstraße/Breitenweg,Vegan fürs Klima und die Tiere
2020-04-03,2020-04-03,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-04-04,2020-04-04,Kapitel 8 in Richtung Rathaus,Bremer OMAS GEGEN RECHTS
2020-04-04,2020-04-04,Ecke Gröpelinger Heerstraße/Lindenhofstraße,Geddenkkundgebung für Mehmet Kubasik und Halit Yozgat - vom NSU ermordet
2020-04-07,2020-04-07,Marktplatz,Kleinkundgebung zum Erstellen eines Videos für den potentiellen Teilnehmerkreis eines Ostermarsches
2020-04-09,2020-04-09,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-04-10,2020-04-10,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-04-11,2020-04-11,Bahnhofsvorplatz-Marktplatz,Ostermarsch
2020-04-12,2020-04-12,"Am Markt, 28195 Bremen",12. Tscherkessisches Ostertreffen
2020-04-16,2020-04-16,Marktplatz,Gottes Größe und seine Barmherzigkeit
2020-04-17,2020-04-17,Gerhard-Rohlfs-Straße/ Breite Straße,Internationale Solidarität der Völker und Staaten und die sofortige Aufhebung aller Sanktionen
2020-04-17,2020-04-17,HBF Bremen - Grasmarkt ,Erstaufnahmeeinrichtung Lindenstraße evakuieren
2020-04-17,2020-04-17,Vor der Bürgerschaft,Altersarmut/Rente
2020-04-17,2020-04-17,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2020-04-20,2020-04-20,Sportparksee / Surfschule Bremen ,Grundrechte
2020-04-23,2020-04-23,Marktplatz,Versöhnung und Abrüstung
2020-04-24,2020-04-24,Marktplatz,Hilflosigkeit der gastronomie in Bremen in Zeiten des Coronavirus
2020-04-24,2020-04-24,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
