Datum,Ende,Ort,Thema
2019-02-23,2019-02-23,Hanseatenhof,Veganismus
2019-02-23,2019-02-23,Ansgarikirchhof,Humanitäre Situation Bevölkerung Syrien
2019-05-24,2019-05-24,Marktplatz,Wahlkundgebung der SPD
2019-02-24,2019-02-24,Flughafen Breme,Tiertransporte Air France KLM
2019-02-25,2019-02-25,Marktpatz,"Gegen Hartz 4 Agenda 2010, Stuttgart 21 (…)"
2019-02-27,2019-02-27,Weserstadion zum Marktplatz,Tarif- und Besoldungsrunde der Länder 2019
2019-02-27,2019-02-27,Schule Lessingstraße zum Ziegenmarkt,(Nicht)Instandsetzung des Trojanischen Holzpferdes auf dem Schulhof
2019-03-01,2019-03-01,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-03-01,2019-03-01,Marktplatz,Demonstration gegen den Klimawandel
2019-03-01,2019-03-01,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-03-02,2019-03-02,Marktplatz,Veganismus
2019-03-02,2019-03-02,Domshof,Gegen den Import von Früchten aus den von Israel besetzten Gebieten
2019-03-04,2019-03-04,Marktplatz,Bremer Montagsdemonstration
2019-03-06,2019-03-06,Maritim Hotel Bremen,Klimaschtuz
2019-03-06,2019-03-06,Eickedorfer Str.,Information über die Organisation und die Europawahl
2019-03-07,2019-03-07,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-03-08,2019-03-08,Bahnhofsvorplatz Richtung Marktplatz,Schutz der Jesiden im Irak und Syrien
2019-03-08,2019-03-08,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-03-08,2019-03-08,Ziegenmarkt bis Domshof,Internationaler Frauentag
2019-03-09,2019-03-09,Domshof,Gegen den Import von Früchten aus den von Israel besetzten Gebieten
2019-03-06,2019-03-06,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-03-07,2019-03-07,Henri-Dunant-Str./Höhe Polizeigewahrsam,Freiheit für Momodou Bah
2019-03-10,2019-03-10,Marktplatz,Mahnwache der Aktionsgruppe Tibet
2019-03-14,2019-03-14,Henri-Dunant-Straße,Freiheit für Momodou. Keine Abschiebung auf Bremen.
2019-03-14,2019-03-14,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-03-15,2019-03-15,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-03-15,2019-03-15,Marktplatz,Klimaschutz
2019-03-15,2019-03-15,"Domsheide 8, 28195 Bremen",Rüstungshochburg Bremen
2019-03-15,2019-03-15,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-03-15,2019-03-15,Goetheplatz,FreeMomodou
2019-03-15,2019-03-15,Marktplatz,Demonstration gegen den Kohleverstromung / Klimawandel
2019-03-16,2019-03-16,Domshof,Gegen den Import von Früchten aus den von Israel besetzten Gebieten
2019-03-16,2019-03-16,Eickedorfer Str.,Information über die Organisation und die Europawahl
2019-03-16,2019-03-16,Marktplatz,Jahrestag des Genozids in Halabja
2019-03-17,2019-03-17,Bahnhofsplatz Richtung Marktplatz,Das Internet gegen den EU-Beschluss zu Artikel 11 und 13
2019-03-18,2019-03-18,Marktplatz,Bremer Montagsdemonstration
2019-03-19,2019-03-19,Bahnhofsvorplatz,Veganismus
2019-03-19,2019-03-19,Kreuzung Breitenweg/Herdentorsteinweg,"Aufklärung über das Thema ""Pelz"""
2019-03-20,2019-03-20,"Parkanlage ""Bahrsplate""",Kurdisches Neujahrsfest
2019-03-21,2019-03-21,Bahnhofsvorplatz,Veganismus
2019-03-21,2019-03-21,Laborzentrum Bremen,Tarifverhandlungen
2019-03-21,2019-03-21,Polizeirevier Bremen Vahr,Freiheit für Momodou. Keine Abschiebung auf Bremen.
2019-03-21,2019-03-21,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-03-21,2019-03-21,Bremer Marktplatz,Bremer Rüstungsbetriebe
2019-03-22,2019-03-22,Marktplatz,Demonstration gegen den Klimawandel
2019-03-22,2019-03-22,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-03-22,2019-03-22,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-03-23,2019-03-23,Hanseatenhof,Veganismus
2019-03-23,2019-03-23,Domshof,Gegen den Import von Früchten aus den von Israel besetzten Gebieten
2019-03-23,2019-03-23,Eickedorfer Str.,Information über die Organisation und die Europawahl
2019-03-25,2019-03-25,Marktplatz,Bremer Montagsdemonstration
2019-03-27,2019-03-27,Grasmarkt,Tarifbewegung der Banken
2019-03-27,2019-03-27,Marktplatz,Aktion zum Welttag für das Ende der Fischerei
2019-03-27,2019-03-27,Marktplatz,Schulen des Bremer Westens für bessere bedingungen in der inklusiven Schule
2019-03-28,2019-03-28,Vor dem Schulzentrum Walle,Keine AfD an Schulen
2019-03-28,2019-03-28,Henri Dunant Straße,Solidarität mit Betroffenen von Abschiebungen
2019-03-28,2019-03-28,Marktplatz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-03-29,2019-03-29,Marktplatz,Interreligiöses Friedensgebet
2019-03-29,2019-03-29,Marktplatz,Klimaschutz
2019-03-29,2019-03-29,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-03-29,2019-03-29,Kastanienwäldchen (Ecke Herdentorsteinweg/Am Wall),Demonstration gegen den Klimawandel
2019-03-29,2019-03-29,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-03-30,2019-03-30,Marktplatz Richtung Haltestelle am Brill,Tierschutz/gegen Massentierhaltung
2019-03-30,2019-03-30,Domshof,Gegen den Import von Früchten aus den von Israel besetzten Gebieten
2019-03-31,2019-03-31,Bahnhofsvorplatz,Veganismus
2019-04-01,2019-04-01,Marktplatz,Bremer Montagsdemonstration
2019-04-02,2019-04-02,Marktplatz,"Versammlung gg. die Ausstellung ""Zeitgenössische Kunst in Syrien"" im Haus d. Bürgerschaft"
2019-04-03,2019-04-03,"Contrescarpe 72, 28195 Bremen",Fehlende Nahversorgung
2019-04-03,2019-04-03,Nähe Rathauseingang,Übergabe von Forderungen für den öffentlichen Dienst an den Bürgermeister
2019-04-04,2019-04-04,Marktplatz,70 Jahre NATO
2019-04-04,2019-04-04,Laborzentrum Richtung Klinikum Bremen-Mitte,Tarifverhandlungen
2019-04-04,2019-04-04,Schweizer Eck in Osterholz,Gedenken an Mehmet Kuba??k
2019-04-05,2019-04-05,Marktplatz,Demonstration gegen den Klimawandel
2019-04-05,2019-04-05,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-04-05,2019-04-05,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-04-05,2019-04-05,Beim Ohlenhof,"""Arbeiter-ändert die Welt-sie braucht es"""
2019-04-06,2019-04-06,Oberer Domshof,Palästinamahnwache
2019-04-06,2019-04-06,Marktplatz,Veganismus
2019-04-06,2019-04-06,Berliner Freiheit,Gedenken an Halit Yozgat
2019-04-07,2019-04-07,Kattenturmer Heerstraße / Neuenlanderstraße,Baustellenverkehrschaos A281 über viele Jahre im Bremer Süden
2019-04-09,2019-04-09,Hanseatenhof,Aufklärung über Eier
2019-04-10,2019-04-10,Martinistraße 43,Haustarifvertrag für den Weser Kurier
2019-04-10,2019-04-10,In den Barken bis Seewanjestraße,Vonovia stoppen
2019-04-11,2019-04-11,Marktplatz,Donnerstagsmahnwache
2019-04-12,2019-04-12,Polizeirevier Horn,Keine Revierschließung in Bremen
2019-04-12,2019-04-12,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-04-12,2019-04-12,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-04-12,2019-04-12,Marktplatz,Umweltschutz / Klimawandel
2019-04-13,2019-04-13,Oberer Domshof,Palästinamahnwache
2019-04-13,2019-04-13,Marktplatz,Flashmob Europa
2019-04-14,2019-04-14,Marktplatz,Veganismus
2019-04-15,2019-04-15,Marktplatz,Bremer Montagsdemonstration
2019-04-18,2019-04-18,Marktplatz,Donnerstagsmahnwache
2019-04-19,2019-04-19,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-04-19,2019-04-19,Kastanienwäldchen (Ecke Herdentorsteinweg/Am Wall),gg Klimawandel
2019-04-19,2019-04-19,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-04-20,2019-04-20,HBF - Marktplatz ,Ostermarsch für Frieden und Abrüstung
2019-04-20,2019-04-20,Oberer Domshof,Palästinamahnwache
2019-04-20,2019-04-20,Oberer Domshof,Veganismus
2019-04-24,2019-04-24,Marktplatz,Zustände in Textilfabriken Asien am Beispiel Bangladesh
2019-04-25,2019-04-25,Marktplatz,Donnerstagsmahnwache
2019-04-26,2019-04-26,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-04-26,2019-04-26,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-04-26,2019-04-26,vor Kino Cinemaxx,Streikmaßnahme Kino
2019-04-27,2019-04-27,vor Kino Cinemaxx,Streikmaßnahme Kino
2019-04-28,2019-04-28,vor Kino Cinemaxx,Streikmaßnahme Kino
2019-04-29,2019-04-29,vor Kino Cinemaxx,Streikmaßnahme Kino
2019-04-27,2019-04-27,Bahnhofsvorplatz,Gegen die Isolationshaft von A. Öcalan
