Datum,Uhrzeit,Ort,Thema,Teilnehmer,Straße,sheet_name
18.06.2019,09:00 - 10:00,Potsdam,Deutsche Bahn AG - bessere Bahn,25,am Bahnhof Sanssouci,2019
19.06.2019,08:30 - 10:00,Potsdam,Deutsche Bahn AG - bessere Bahn,26,am Bahnhof Sanssouci,2019
18.08.2019,13:00 - 16:30,Potsdam,Coal & Boat Demo,500,Innenstadt Potsdam,2019
01.07.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
08.07.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
15.07.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
22.07.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
29.07.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
05.08.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
12.08.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
19.08.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Freifläche vor dem Filmmuseum,2019
26.08.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Freifläche vor dem Filmmuseum,2019
02.09.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Freifläche vor dem Filmmuseum,2019
09.09.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
16.09.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
23.09.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
30.09.2019,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2019
22.06.2019,13:45 - 17:00,Potsdam,Protest gegen Massentierhaltung,15,Luisenplatz,2019
26.06.2019,13:00 - 14:00,Potsdam,Klimawandel,12,Am Kanal 47,2019
03.07.2019,13:00 - 14:00,Potsdam,Klimawandel,12,Am Kanal 47,2019
14.08.2019,14:00 - 20:00,Potsdam,Klimanotfall in Potsdam ausrufen!,50,F.-Ebert-Straße 79/80,2019
18.07.2019,16:00 - 18:00,Potsdam,Omas gegen rechts,50,,2019
