Datum,Beginn,Ende,Thema,Ort,Aufzug,Teilnehmer,Absage,sheet_name
2021-01-14 00:00:00,,,Maskenfreier Appell,BVerfG,,50,,2021
2021-01-18 00:00:00,,,Antifaschistische Friedensdiscodemo,Werderplatz,,70,,2021
2021-01-16 00:00:00,,,Kunstperformance für Grundrechte,Erbrpinzenstraße bis Marktplatz,x,20,,2021
2021-02-19 00:00:00,,,Gegen rechten Terror,Kirchplatz St. Stephan,,100,,2021
2021-04-24 00:00:00,,,Rettungskette für Menschenrechte,Moltkestraße,,2000,x,2021
2021-01-21 00:00:00,,,Catcalls of Karlsruhe kreiden an,Europaplatz,,2,,2021
2021-01-22 00:00:00,,,Gegen Schwurbelei und Verschwörungstheorien,Friedrichsplatz,,50,,2021
2021-01-23 00:00:00,,,Bewegungsmeditation,Nottingham-Anlage,,80,,2021
2021-01-22 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Friedrichsplatz,,90,,2021
2021-01-22 00:00:00,,,Autokorso,Pfinztal,,?,,2021
2021-01-21 00:00:00,,,Maskenfreier Appell,BVerfG,,50,,2021
2021-01-23 00:00:00,,,Corona-Impfstoff,Pfizerstraße,,20,,2021
2021-01-23 00:00:00,,,Für das Grundgesetz,Nußbaumweg,,20,,2021
2021-01-23 00:00:00,,,Kein Lockdown für Kinderrechte,Schlossplatz,,50-100,,2021
2021-01-28 00:00:00,,,Maskenfreier Appell,BVerfG,,50,,2021
2021-01-29 00:00:00,,,Querdenken versenken,Friedrichsplatz,,150,,2021
2021-02-06 00:00:00,,,Gedenken an alle Opfer der Corona-Maßnahmen,Messplatz,,749,,2021
2021-03-19 00:00:00,,,Fridays for Future,Marktplatz,,50,x,2021
2021-03-19 00:00:00,,,Fridays for Future,Marktplatz + Hebelstraße,,2000,x,2021
2021-01-29 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Friedrichsplatz,,100,,2021
2021-02-05 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Friedrichsplatz,,100,,2021
2021-01-30 00:00:00,,,Catcalls of Karlsruhe kreiden an,Kronenplatz/Marktplatz,,2,,2021
2021-01-30 00:00:00,,,Seebrücke,Marktplatz,,20,,2021
2021-01-29 00:00:00,,,Kunstperformance für Grundrechte,Messplatz,,20,,2021
2021-01-30 00:00:00,,,Kunstperformance für Grundrechte,Weststadt,,20,,2021
2021-02-07 00:00:00,,,Antifaschistische Versammlung,Rathausplatz Stupferich,,100,,2021
2021-02-06 00:00:00,,,Bewegung statt Stillstand,Messplatz,,749,x,2021
2021-02-02 00:00:00,,,Stille Mahnwache für Frieden,Schlossplatz Durlach,,8,,2021
2021-03-02 00:00:00,,,Stille Mahnwache für Frieden,Schlossplatz Durlach,,8,,2021
2021-03-05 00:00:00,,,Performance gegen Gewalt an Frauen,Europaplatz,,20,,2021
2021-02-12 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Friedrichsplatz,,150,,2021
2021-03-08 00:00:00,,,Montagsdemo gegen Hartz IV und Sozialabbau,Marktplatz,,50,,2021
2021-02-07 00:00:00,,,Freiheit (Religion),Marktplatz,,20,,2021
2021-02-04 00:00:00,,,Maskenfreier Appell,BVerfG,,50,,2021
2021-03-10 00:00:00,,,Equal Pay Day,Stephanplatz,,40,,2021
2021-02-10 00:00:00,,,Maskenfreier Appell,BVerfG,,60,,2021
2021-02-07 00:00:00,,,Catcalls of Karlsruhe kreiden an,Kronenplatz + Marktplatz,,2,,2021
2021-02-20 00:00:00,,,Gutes Wohnen für Alle,Werderplatz,,100,x,2021
2021-02-15 00:00:00,,,Gegen die Corona-Maßnahmen,Durlach,,50,,2021
2021-03-14 00:00:00,,,"Für Verbindung, Ehrlichkeit, Frieden und Liebe",Schlossplatz,,500,,2021
2021-02-14 00:00:00,,,LGBTIQ-Rechte,Marktplatz,,5,,2021
2021-02-13 00:00:00,,,Catcalls of Karlsruhe kreiden an,Oststadt,,2,,2021
2021-02-14 00:00:00,,,Freiheit der Religionsausübung mit Redebeiträgen und Musik,Marktplatz,,25,,2021
2021-02-11 00:00:00,,,Zur aktuellen politischen Lage,Europaplatz,,25,x,2021
2021-02-19 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,150,,2021
2021-02-12 00:00:00,,,Kunstperformance für Grundrechte,Messplatz,,15,,2021
2021-02-17 00:00:00,,,Gegen rechte Hetze,Friedrichsplatz,,100,,2021
2021-02-26 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,150,,2021
2021-03-05 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Friedrichsplatz,,250,,2021
2021-02-16 00:00:00,,,Peace Love Music,Kronenplatz,,70,,2021
2021-02-18 00:00:00,,,Peace Love Music,Schlossplatz,,70,,2021
2021-02-20 00:00:00,,,KMUs machen aufmerksam auf ihre aktuelle Situation,Marktplatz/Saumarkt Durlach,,50,,2021
2021-02-17 00:00:00,,,Infostand - Fragen und Antworten - Rund um die Corona-Maßnahmen,Ludwigsplatz,,15,,2021
2021-02-21 00:00:00,,,Freiheit,Marktplatz,,25,,2021
2021-02-18 00:00:00,,,Maskenfreier Appell,BVerfG,,60,,2021
2021-03-02 00:00:00,,,Urteilsverkündung CETA,Marktplatz,,20,,2021
2021-02-20 00:00:00,,,Verkehrswende,Schlossgarten,,50,,2021
2021-02-21 00:00:00,,,Kunstperformance für Grundrechte,Schloss,,17,,2021
2021-03-19 00:00:00,,,Fridays for Future,Schloss,,2000,,2021
2021-03-13 00:00:00,,,Gemeinsam gegen Rassismus,Marktplatz,,200,,2021
2021-02-23 00:00:00,,,Unterstützung zum Erhalt und Pflege von ökologischer Landwirtschaft,Festplatz Gartenhalle ,,30,,2021
2021-03-05 00:00:00,,,MITdenken statt Querdenken,Friedrichsplatz,,125,,2021
2021-03-10 00:00:00,,,Fukushima Jahrestag,EnBW Zentrale,,20,,2021
2021-02-25 00:00:00,,,Catcalls of Karlsruhe kreiden an,Rüppurrer Straße 1,,2,,2021
2021-02-26 00:00:00,,,Catcalls of Karlsruhe kreiden an,Europaplatz,,2,,2021
2021-02-24 00:00:00,,,Infostand - Fragen und Antworten - Rund um die Corona-Maßnahmen,Marktplatz,,15,,2021
2021-02-27 00:00:00,,,Menschenrechtslage auf Sri Lanka,Bahnhofsvorplatz,,20,,2021
2021-02-25 00:00:00,,,Maskenfreier Appell,BVerfG,,50,,2021
2021-02-28 00:00:00,,,Freiheit,Marktplatz,,25,,2021
2021-02-26 00:00:00,,,Plakatniederlegung Klimakrise,Stephanplatz,,30,,2021
2021-03-13 00:00:00,,,Gute Bildung und nachhaltige Entwicklung für unsere Kinder,Schlossplatz,,40,x,2021
2021-03-06 00:00:00,,,Protestcamp Seebrücke,Schlossplatz,,15-100,,2021
2021-03-07 00:00:00,,,Protestcamp Seebrücke,Schlossplatz,,15-100,,2021
2021-03-10 00:00:00,,,Corona-Impfstoff,Marktplatz,,50-70,,2021
2021-03-04 00:00:00,,,Maskenfreier Appell,BVerfG,,50,,2021
2021-03-08 00:00:00,,,verdi Kampagne zur LTW 2021,Städtisches Klinikum,,20,,2021
2021-03-12 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,120,,2021
2021-03-05 00:00:00,,,Coronoia 2020,Ettlinger Straße bis Friedrichsplatz,,20,,2021
2021-03-07 00:00:00,,,Freiheit-Religion,Marktplatz,,25,,2021
2021-03-03 00:00:00,,,"Mahnwache ""Für eine offene und freie Debattenkultur - Verbindung statt Spaltung""",Marktplatz,,15,,2021
2021-03-20 00:00:00,,,Friedensklangweg,Garten der Religionen bis Marktplatz,,20,x,2021
2021-03-07 00:00:00,,,Informationsveranstaltung Fridays for future - Straßenbeleuchtung mit abwaschbaren Temperafarben,Schloss,,20,,2021
2021-03-05 00:00:00,,,Kunstperformance für Grundrechte,Messplatz,,20,,2021
2021-03-08 00:00:00,,,Catcalls of Karlsruhe kreiden am Weltfrauentag,"Europaplatz, Herrenstraße, Marktplatz, Schlossgarten, Kronenplatz",,4,,2021
2021-03-06 00:00:00,,,Kunstperformance für Grundrechte,"Karl-Wolf-Weg, Günther-Klotz-Anlage",,20,,2021
2021-04-27 00:00:00,,,"Politische Kundgebung gegen Rechtsextremismus, Antisemitismus und Rassismus",Marktplatz,,250,,2021
2021-03-18 00:00:00,,,Tag der politischen Gefangenen,Friedrichsplatz,,50,,2021
2021-03-23 00:00:00,,,"Mit §§ RECHT §§ rassistisch? Wir haben und alle ""lieb"" oder wie struktureller Rassismus das gesellschaftliche Klima vergiftet",Kirchplatz St. Stephan,,50-70,,2021
2021-03-28 00:00:00,,,Jugend gegen Krieg,Beginn/Ende: Schlossplatz,x,100-150,,2021
2021-03-11 00:00:00,,,Infostand zum Urteil des BGH wegen illegalem Waffenhandel,Kirchplatz St. Stephan,,40,x,2021
2021-03-11 00:00:00,,,Maskenfreier Appell,BVerfG,,50,,2021
2021-03-10 00:00:00,,,Für eine offene und freie Debattenkultur - Verbindung statt Spaltung,Marktplatz,,15,,2021
2021-03-27 00:00:00,,,Falun Dafa und die Verfolgung durch die Kommunistische Partei Chinas,Marktplatz,,5,,2021
2021-03-14 00:00:00,,,Freiheit - Religion,Marktplatz,,25,,2021
2021-03-13 00:00:00,,,"""Die Kirche im Dorf lassen"" gegen die Vergrößerung des Tagebau Garzweiler",Marktplatz (ev. Stadtkirche),,3,,2021
2021-03-12 00:00:00,,,Coronoia 2020,Ettlinger Straße bis Marktplatz,x,15,x,2021
2021-03-15 00:00:00,,,Gegen Polizeigewalt und Behördenwillkür,Beginn/Ende: Werderplatz,x,50,,2021
2021-03-23 00:00:00,,,Stärkung der queeren Sichtbarkeit in Karlsruhe. Aufruf an die Fraktionen im Gemeinderat die queeren Belange im Blick zu halten.,Festplatz Gartenhalle ,,30,,2021
2021-03-26 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,120,,2021
2021-03-19 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,120,,2021
2021-03-20 00:00:00,,,#NoMoreEmptyPromises - Energieewende jetzt!,Marktplatz (Pyramide und Kaiserstraße),,30,,2021
2021-03-17 00:00:00,,,Catcalls of Karlsruhe kreiden an,Marktplatz,,2,,2021
2021-03-20 00:00:00,,,Frieden ohne Gewalt,Marktplatz (Pyramide),,15,,2021
2021-03-18 00:00:00,,,Maskenfreier Appell,BVerfG,,50,,2021
