Anmeldung vom,Datum,Zeit,Versammlungsort,Teilnehmer,Veranstalter,Art,Thema
08.02.2022,08.03.2022,17:30 - 22:00,Karlsplatz,50,,Aufzug,int. Weltfrauentag
08.02.2022,08.03.2022,17:00 - 19:00,von-der-Heydt-Platz,100,Frauenverband Courage,Versammlung,internationaler Frauentag
08.02.2022,09.02.2022,13:00 - 16:00,vor dem Ausländeramt,keine Angabe,,Versammlung,gegen Abschiebung
09.02.2022,25.03.2022,15:00 - 18:30,Döppersberg,500,Fridays for Future,Aufzug,Globaler Klimastreik
17.02.2022,19.02.2022,15:00 - 18:00,Johannes-Rau-Platz,350,,Aufzug,für freie Impfentscheidung
20.02.2022,26.02.2022,15:00 - 18:00,Johannes-Rau-Platz,350,,Aufzug,für freie Impfentscheidung
20.02.2022,05.03.2022,15:00 - 18:00,Johannes-Rau-Platz,350,,Aufzug,für freie Impfentscheidung
22.02.2022,24.02.2022,17:00 - 19:00,Johannes-Rau-Platz,200,SPD,Versammlung,"Ukrainekonflikt, Friedensdemo"
23.02.2022,23.02.2022,17:30 - 20:00,Johannes-Rau-Platz,100 - 150,Internationalistisches Bündnis,Aufzug,Gegen jede Kriegstreiberei im Ukraine- Russland- Konflikt
24.02.2022,25.02.2022,18:00 - 20:00,Döppersberg,100 - 150,Internationalistisches Bündnis,Aufzug,Gegen jede Kriegstreiberei im Ukraine- Russland- Konflikt
24.02.2022,05.03.2022,14:00 - 15:00,Döppersberg,10,,Versammlung,Gefangene in der Türkei
28.02.2022,02.03.2022,18:00 - 18:30,Stadtgarten Ronsdorf,20,Naturfreunde e.V.,Versammlung,Friedenskundgebung
28.02.2022,25.06.2022,14:30 - 15:30,Mahnmal Kemna,15-40,Jugendring Wuppertal e.V,Versammlung,Gedenkfeier KZ Kemna
28.02.2022,02.03.2022,17:30 - 20:00,Döppersberg,100 -,Internationalistisches Bündnis,Aufzug,gegen akute Weltkriegsgefahr
02.03.2022,03.03.2022,10:30 - 12:30,Rathaus Barmen,300,,Aufzug,Friedensmarsch
02.03.2022,04.03.2022,09:00 - 10:30,Höhenstraße,600,,Aufzug,Solidaritätsmarsch mit der Ukraine
02.03.2022,08.03.2022,09:30 - 14:30,Johannes-Rau-Platz,100 -,Verdi,Versammlung,"Weltfrauentag, Sozial- und Erziehungsberufe"
03.03.2022,12.03.2022,13:00 - 15:00,Laurentiusplatz,200,SPD,Versammlung,Gegen Krieg. Für Frieden. Wir stehen an der Seite der Ukraine.
03.03.2022,17.03.2022,17:30 - 19:00,Johannes-Rau-Platz,100,SPD,Versammlung,Gedenken der Opfer in der Ukraine
04.03.2022,26.03.2022,14:00 - 16:00,Rathaus-Barmen,30,Palästinensische Gemeinde Wuppertal e.V.,Versammlung,Solidarität für Palästina
08.03.2022,19.03.2022,14:00 - 21:00,Hardt,300,,Versammlung,Bass gegen Hass
08.03.2022,19.03.2022,11:00 - 13:00,Döppersberg,15,Parents for future,Versammlung,Klimafolgeschäden
20.02.2022,12.03.2022,15:00 - 18:00,Johannes-Rau-Platz,350,,Aufzug,für freie Impfentscheidung
10.03.2022,14.03.2022,18:00 - 19:00,Döppersberg,30,,Versammlung,gegen Ukraine-Krieg
11.03.2022,17.03.2022,15:00 - 16:00,Johannes-Rau-Platz,10,Fridays for Future,Versammlung,Klimanotstand - jetzt ausrufen!
11.03.2022,01.05.2022,10:30 - 14:00,Barmen Bahnhof,750,DGB,Aufzug,Tag der Arbeit
14.03.2022,18.03.2022,08:30 - 14:00,Geschwister-Scholl-Platz,400,Verdi,Aufzug,Mehr braucht mehr
14.03.2022,18.03.2022,12:00 - 13:15,Bachstr. 17 (Schulhof),300,,Aufzug,Luftballons für Frieden in der Ukraine
20.02.2022,19.03.2022,15:00 - 18:00,Johannes-Rau-Platz,450,,Aufzug,für freie Impfentscheidung
16.03.2022,23.03.2022,17:00 - 19:30,Laurentiusplatz,10,Fridays for Future,Versammlung,Klimaschutz
16.03.2022,23.03.2022,15:00 - 16:00,Johannes-Rau-Platz,10,Fridays for Future,Versammlung,Ausrufung des Klimanotstands
16.03.2022,19.03.2022,18:30 - 20:00,Nordbahnstr/Sand-Platz,Apr 40,Greenpeace,Versammlung,Mahnwache für Frieden in der Ukraine
20.02.2022,23.03.2022,18:00 - 20:30,Döppersberg,350,,Aufzug,gegen den fortschreitenden Abbau von Grundrechten und die darauf basierenden Maßnahmen
17.03.2022,06.05.2022,14:00 - 17:00,Geschwister-Scholl-Platz,30,GEW,Versammlung,Baustelle Bildung
20.02.2022,26.03.2022,15:00 - 18:00,Johannes-Rau-Platz,450,,Aufzug,für freie Impfentscheidung
21.05.2022,15.05.2022,15:00 - 17:00,Geschwister-Scholl-Platz,400,Mobiles Wuppertal,Aufzug,Kidical Mass-Die Fahrraddemo für die ganze Familie - Fahrräder auf die B7
24.03.2022,02.04.2022,11:00 - 13:30,Alte Freiheit,250,EAK der CDU,Aufzug,Versammlung und Gebet für den Frieden
24.03.2022,01.04.2022,17:00 - 18:45,Wuppertal Elberfeld Bundesallee 250-260,15,Die BASIS,Versammlung,"Wahlwerbung für die Partei ""die Basis"" - Präsentation von Schildern"
20.02.2022,30.03.2022,18:00 - 20:30,Lienhardtplatz,350,,Aufzug,für Grundrechte und Selbstbestimmung
25.03.2022,27.03.2022,14:00 - 15:00,Kaiserhöhe,20 - 30,BUGA so nicht,Versammlung,Bundesgartenschau 2031
26.03.2022,23.04.2022,14:00 - 18:00,Döppersberg,150,Volt Europa,Aufzug,Wahlkampfveranstaltung
28.03.2022,31.03.2022,15:00 - 16:00,Johannes-Rau-Platz,5,Fridays for Future,Versammlung,Ausrufung des Klimanotstands
20.02.2022,02.04.2022,15:00 - 18:00,Johannes-Rau-Platz,250,,Aufzug,für freie Impfentscheidung
30.03.2022,10.05.2022,14:00 - 19:00,Willy-Brandt-Platz,200,"Die Linke, Kreisverband Wuppertal",Versammlung,Wahlkampfveranstaltung
24.03.2022,09.04.2022,11:00 - 17:00,Berliner Platz,300,Färberei e.V,Versammlung,Kundgebung für Frieden
31.03.2022,16.04.2022,12.30 - 13.45,Bahnhofsvorplatz Döppersberg,50,Wuppertaler Friedensforum,Versammlung,Friedenskundgebung
20.02.2022,06.04.2022,18:00 - 20:30,Berliner Platz,350,,Aufzug,für Grundrechte und Selbstbestimmung
20.02.2022,09.04.2022,15:00 - 18:00,Johannes-Rau-Platz,350,,Aufzug,für freie Impfentscheidung
04.04.2022,05.04.2022,13:15 - 14:00,Johannisberg,5,Fridays for Future,Versammlung,Klimaschutz
01.04.2022,24.04.2022,14:00 - 19:00,Döppersberg,3000,,Aufzug,Grundrechte und Selbstbestimmung
06.04.2022,09.04.2022,14:00 - 15:00,Döppersberg,10,,Versammlung,Gefangene in der Türkei
05.04.2022,08.04.2022,16:00 - 17:30,Friedrich-Engels Allee,15,die Basis,Versammlung,Wahlkampfveranstaltung
20.02.2022,13.04.2022,18:00 - 20:30,Johannes-Rau-Platz,350,,Aufzug,für Grundrechte und Selbstbestimmung
10.04.2022,25.09.2022,15:00 - 17:00,Geschwister-Scholl-Platz,400,Mobiles Wuppertal,Aufzug,Fahrraddemo für die Familie - Kidical Mass
11.04.2022,20.07.2022,17:00 - 18:00,Dewerthscher Garten,100,Stadt Wuppertal,Versammlung,Gedenken der Opfer des Nationalsozialismus
20.02.2022,20.04.2022,18:00 - 20:30,Haspel,350,,Aufzug,für Grundrechte und Selbstbestimmung
20.02.2022,27.04.2022,18:00 - 20:30,Döppersberg,350,,Aufzug,für Grundrechte und Selbstbestimmung
11.04.2022,25.05.2022,17:00 - 17:45,Synagoge Barmen,100,,Aufzug,Kippa-Tag
13.04.2022,16.04.2022,15:00 - 15:45,Bahnhof Vorplatz,30,,Versammlung,Demonstrationsrech Verteidigen
13.04.2022,20.05.2022,18:30 - 20:45,Dewerthscher Garten,100,Students for Future,Aufzug,Klimagerechtigkeit
17.04.2022,05.05.2022,15:30 - 17:30,Döppersberg,250,Die Grünen,Versammlung,Wahlkampfveranstaltung
17.04.2022,08.05.2022,16:30 - 18:00,Laurentiusplatz,300,Die Grünen,Versammlung,Wahlkampfveranstaltung
14.04.2022,23.04.2022,14:00 - 16:00,Bahnstraße Ecke Nathrater,100,BuGa,Aufzug,Gegen Abholzung Buga
18.04.2022,06.05.2022,15:00 - 16:30,Döppersberg,250,Fridays for Future,Aufzug,Klimaschutz in NRW
20.02.2022,30.04.2022,15:00 - 18:00,Johannes-Rau-Platz,250,,Aufzug,für freie Impfentscheidung
19.04.2022,22.04.2022,16:00 - 17:30,Friedrich-Engels Allee,15,die Basis,Versammlung,Wahlkampfveranstaltung Basis
20.04.2022,23.04.2022,10:00 - 14:00,Laurentiusplatz,20,die Basis,Versammlung,Wahlkampfveranstaltung Basis
20.04.2022,30.04.2022,12:00 - 15:30,Alter Markt,20,Die BASIS,Versammllung,Wahlkamfpveranstaltung Basis
20.04.2022,07.05.2022,12:00 - 15:30,Alter Markt,20,Die BASIS,Versammlung,Wahlkampfveranstaltung Basis
20.04.2022,14.05.2022,12:00 - 15:30,Laurentiusplatz,20,Die BASIS,Versammlung,Wahlkampfveranstaltung Basis
21.04.2022,02.05.2022,10:00 - 15:30,Geschwister-Scholl-Platz,500,ver.di Düssel-Rhein-Wupper,Versammlng,ver.di Aktion - Mehr braucht mehr
22.04.2022,01.05.2022,11:30 - 16:00,Jubiläumsplatz,20,Freie Arbeiterinnen Union Bergisch Land,Versammlung,gewerkschaftliche Kundgebeung
25.04.2022,30.04.2022,12:30 - 14:30,Johannes-Rau-Platz,20,Die BASIS,Versammlung,Völkerstrafrecht am Beispiel Corona
25.04.2022,25.04.2022,18:00 - 19:00,Döppersberg,20,,Versammlung,gegen Angriffe der Türkei Kurdistans
23.04.2022,30.04.2022,12:00 - 15:00,Laurentiusplatz,200,SPD,Versammlung,Wahlkampfveranstaltung
26.04.2022,14.05.2022,12:00 - 15:00,Döppersberg,15,Parents for Future,Versammlung,lokale Klimakatastrophe
27.04.2022,29.04.2022,16:00 - 17:45,Opernhaus,15,Die BASIS,Versammlung,Wahlkampfveranstaltung
27.04.2022,06.05.2022,16:00 - 17:45,Opernhaus,15,Die Basis,Versammlung,Wahlkampfveranstaltung
27.04.2022,13.05.2022,16:00 - 17:45,Opernhaus,15,Die Basis,Versammlung,Wahlkampfveranstaltung
27.04.2022,04.05.2022,09:00 - 14:00,Willy-Brandt-Platz,300,ver.di Düssel-Rhein-Wupper,Aufzug,ver.di Aktion - Erziehungs- und Sozialberufe
21.04.2022,30.04.2022,15:00 - 15:30,Döppersberg,20,Extinction Rebellion,Versammlung,"Baumsterben, Klimakrise"
29.04.2022,30.04.2022,15:00 - 15:30,Bahnhofsvorplatz,25,Xtinction Rebellion Wuppertal,Versammlung,Klimakrise
19.02.2022,04.05.2022,18:00 - 20:30,Lienhardtplatz,350,,Aufzug,für Grundrechte und Selbstbestimmung
03.05.2022,07.05.2022,10:00 - 12:00,Alte Freiheit,50 - 70,,Aufzug,"Flashmob Putzaktion ""Danke"""
03.05.2022,08.05.2022,14:45 - 17:15,Döppersberg,30,Volksrat der Eelam,Versammlung,Bilderausstellung Opfer Sri Lanka
19.02.2022,07.05.2022,18:00 - 20:30,Johannes-Rau-Platz,250,,Aufzug,für freie Impfentscheidung
04.05.2022,07.05.2022,14:00 - 15:00,Döppersberg,10,,Versammlung,Gefangene in der Türkei
19.02.2022,11.05.2022,18:00 - 20:30,Berliner Platz,150,,Aufzug,für Grundrechte und Selbstbestimmung
11.05.2022,18.05.2022,17:30 - 18:00,Obere Lichtenplatzer Str. 251,15,Mobiles Wuppertal,Versammlung,Mahnwache für getöteten Senior
16.05.2022,21.05.2022,15:00 - 18:00,Johannes-Rau-Platz,250,,Aufzug,Für freie Impfentscheidung …
18.05.2022,29.05.2022,11:00 - 14:00,Zoo,12,PETA,Versammlung,Tierhaltung
19.05.2022,25.05.2022,18:00 - 20:30,Bahnhofsvorplatz Barmen,250,,Aufzug,für Grundrechte und Selbstbestimmung
23.05.2022,11.06.2022,14:00 - 16:00,Pestalozzistr.,150,Forum gegen Polizeigewalt,Aufzug,Gedenkveranstaltung
24.05.2022,11.06.2022,12:00 - 14:00,Wuppertal Bahnhofsvorplatz,20,"Solidaritätsnetzwerk Wuppertal,",Versammlung,Gegen Krieg. Für Frieden.
26.05.2022,13.08.2022,14:00 - 18:00,Döppersberg,100 -,Engelsbündnis,Aufzug,Engelsgedenkdemonstration
28.05.2022,04.06.2022,15:00 - 18:00,Johannes-Rau-Platz,250,,Aufzug,Für freie Impfentscheidung …
02.06.2022,04.06.2022,14:00 - 15:00,Döppersberg,10,,Versammlung,Gefangene in der Türkei
03.06.2022,08.06.2022,18:00 - 20:30,Am Haspel,150,,Aufzug,für Grundrechte und Selbstbestimmung
04.06.2022,21.06.2022,15:30 - 16:30,Rathausplatz,30,Mobiles Wuppertal,Versammlung,Haushaltsmittel für Rad- und Fußverkehr
10.06.2022,25.06.2022,13:00 - 16:00,Laurentiusplatz,15,,Versammlung,Friedenskundgebung
14.06.2022,18.06.2022,15:00 - 18:00,Johannes-Rau-Platz,250,,Aufzug,Für Freiheit und Einigkeit
16.06.2022,22.06.2022,18:00 - 20:30,Döppersberg,100,,Aufzug,für Grundrechte und Selbstbestimmung
28.06.2022,06.07.2022,18:00 - 20:30,Lienhardtplatz,150,,Aufzug,für Grundrechte und Selbstbestimmung
30.06.2022,22.12.2022,17:00 - 18:00,Geschwister-Scholl-Platz,150,,Versammlung,Channuka-Fest
03.07.2022,05.07.2022,14:00 - 16:30,Zoo,5,,Versammlung,Tierhaltung
06.07.2022,01.09.2022,18:00 - 20:00,HBF-Vorplatz,40,,Aufzug,Stoppt den Krieg!
07.07.2022,23.07.2022,12:00 - 14:00,HBF-Vorplatz,20,,Versammlung,Für kostenfreien Nahverkehr
07.07.2022,20.08.2022,12:00 - 14:00,HBF-Vorplatz,40,,Versammlung,Für kostenfreien Nahverkehr
08.07.2022,20.07.2022,18:00 - 19:00,Döppersberg,50,,Versammlung,Gedenken Opfer in Suruc/Türkei
10.07.2022,12.07.2022,13:30 - 16:30,Zoo,5,,Versammlung,Tierhaltung
12.07.2022,23.09.2022,12:00 - 20:00,Laurentiusplatz,200,FFF Wuppertal,Aufzug,globaler Streiktag
15.07.2022,18.07.2022,13:30 - 16:30,Zoo,5,,Versammlung,Tierhaltung
12.07.2022,30.07.2022,12:00 - 13:00,Laurentiusplatz,10 Traktor,,Autokorso,Kinder-Lebens-Lauf – jedes Kind hat ein Recht auf Palliativversorgung!
19.07.2022,06.08.2022,14:00 - 17:00,Kasinokreisel,15,,Versammlung,"Mahnwache ""Atombombenabwurf Hiroshima"
23.07.2022,28.08.2022,14:00 - 19:00,Döppersberg,2000,,Aufzug,für Grundrechte und Selbstbestimmung
26.07.2022,28.07.2022,12:00 - 15:00,Laurentiusplatz,10,,Versammlung,Justice for Kurds
26.07.2022,28.07.2022;30.7.2022;01.08.2022;,12:00 - 15:00,Laurentiusplatz. 30.07.2022 auf dem Von- der-Heydt-Platz,10,,Versammlung en,"Mahnwache, Justice for Kurds - für die Streichung der PKK von der Eu Terrorliste"
28.07.2022,12.08.2022,16:00 - 17.45,"Friedrich-Engels-Allee, Höhe Opernhaus",15,die Basis,Versammlung,"Werbung für die Partei ""die BASIS""- Präsentation von Schildern"
01.08.2022,04.08.2022,14:30 - 17:00,Zoo,5,,Versammlung,Tierhaltung
01.08.2022,06.08.2022,15:00 - 17:00,Döppersberg,15,,Versammlung,Tierrecht: Aufklärungsarbeit Massentierhaltung
02.08.2022,10.09.2022,19:00 - 21:30,Johannes-Rau-Platz,500 -,,Aufzug,CSD
07.08.2022,19.08.2022,09:30 - 13:00,Johannisberg,15,Tacheles,Versammlung,10 Jahre kommunales Jobcenter
08.08.2022,18.08.2022,17:00 - 19:00,von-der-Heydt-Platz,30,MLPD,Versammlung,Der Ukraine-Krieg und die weltweiten Folgen
09.08.2022,18.08.2022,16:00 - ???,Döppersberg,20,"Solidaritätsnetzwerk Wuppertal,",Versammlung,für kostenfreien Nahverkehr
11.08.2022,15.08.2022,17:00 - 17:30,Hardtufer,15,Mobiles Wuppertal,Aufzug,Hardtufer als Fahrradstraße
17.08.2022,28.08.2022,13:30 - 14:30,Döppersberg,100,Wuppertal von Links,Aufzug,Gemeinsam gegen Nazis…
17.08.2022,24.09.2022,13:00 - 18:00,Döppersberg,25,Bürgerbewegung Pax Europa,Versammlung,Aufklärung über Politischen Islam
19.08.2022,24.08.2022,18:15 - 19:00,Vorplatz der Bergischen,5,FFF Wuppertal,Versammlung,Autofreies Luisenviertel
22.08.2022,24.08.2022,13:00 - 15:00,Zoo,5,,Versammlung,Tierrechtsaktivismus in Unterwäsche
23.08.2022,24.08.2022,18:30_20:00,SSK Wuppertal,15,,Versammlung,Bundesgartenschau 2031
24.08.2022,26.08.2022,16:45 - 19:00,Karlsplatz,20,,Versammlung,"Sozialabbau, Kriegsgefahr, Gentrifizierung"
25.08.2022,02.09.2022,16:00 - 17:45,Opernhaus,15,die Basis,Vesammlung,"Werbung für die Partei ""die BASIS""- Präsentation von Schildern"
30.08.2022,11.09.2022,13:00 - 17:00,Nordbahntrasse Bahnhof Loh,50,Tacheles,Versammlung,"Wer hat, der gibt, wer braucht, der nimmt."
31.08.2022,15.10.2022,15:00 - 18:00,Döppersberg,10,,Versammlung,Aneinanderreihung von Corona Presseberichten
31.08.2022,03.09.2022,15:00 - 17:00,Döppersberg,15,,Versammlung,Tierrechte
06.09.2022,19.09.2022,18:00 - 20:30,Döppersberg,50,Bündnis Wuppertal,Aufzug,Genug ist genug! Preise runter!
08.09.2022,01.10.2022,14:00 - 16:00,Laurentiusplatz,40,Wuppertaler Aktionsbündnis gegen TTIP,Aufzug,keine Ratifikation von CETA
26.09.2022,03.10.2022,15:00 - 17:00,Döppersberg,50,,Aufzug,gegen Preisexplosion
30.09.2022,10.10.2022,18:00 - 19:00,Döppersberg,30,,Versammlung,Solidarität mit Protesten in Iran
05.10.2022,08.10.2022,11:00 - 14:00,Döppersberg,50,,Versammlung,Mahsa Aminie
05.10.2022,15.10.2022,11:00 - 14:00,Laurentiusplatz,150,,Versammlung,Mahsa Aminie
06.10.2022,28.10.2022,16:45 - 19:00,Platz der Republik,30,,Versammlung,Kundgebung zum Sozialabbau
07.10.2022,13.11.2022,11:00 - 13:00,Ehrenfriedhof Barmen,100,,Versammlung,Volkstrauertag
11.10.2022,04.11.2022,09:00 - 14:00,Johannes-Rau-Platz,600 -,IG Metall,Aufzug,Warnstreik und Kundgebung Tarifauseunandersetzung
11.10.2022,01.11.2022,16:00 - 19:30,Wupperfelder Markt,200,Karawane für die Rechte der Flüchtlinge,Versammlung,Gerechtigkeit für Georgios Zantiotis
12.10.2022,17.10.2022,18:00,Döppersberg,50,,Aufzug,Genug ist genug! Preise runter!
12.10.2022,07.11.2022,18:00,Döppersberg,50,,Aufzug,Genug ist genug! Preise runter!
12.10.2022,21.11.2022,18:00,Döppersberg,50,,Aufzug,Genug ist genug! Preise runter!
12.10.2022,05.12.2022,18:00,Döppersberg,50,,Aufzug,Genug ist genug! Preise runter!
12.10.2022,19.12.2022,18:00,Döppersberg,50,,Aufzug,Genug ist genug! Preise runter!
13.10.2022,15.10.2022,15:00 - 17:00,Berliner Platz,50,,Aufzug,Kundgebung für Palästina
14.10.2022,22.10.2022,09:00 - 12:00,Müngstenerstr. 10,50 - 60 Fahrzeuge,,Autokorso,Stoppt das Glücksspiel - Wuppertaler Fahrschulen für ihre Kunden
24.10.2022,27.10.2022,17:00 - 17:30,Friedrich Ebert Str,15,,Versammlugu,Mahnwache für getötete Fußgängerin
24.10.2022,29.10.2022,14:00 - 16:00,Döppersberg,12,,Versammlung,Tierrechte
25.10.2022,25.11.2022,16:30 - 19:00,Kirchstraße,100,Frauenverband Courage,Aufzug,Gegen Gewalt gegen Frauen
27.10.2022,13.11.2022,15:00 - 18:00,Loher Platz,50,,Aufzug,Gedenken an Karl-Hans Rohn
02.11.2022,05.11.2022,15:00 - 16:30,Döppersberg,30,,Versammlung,Solidarität mit Lützerath und Klimakrise
02.11.2022,07.11.2022,09:00 - 10:00,Eiland 2,10,,Versammlung,Klimaschutz ist kein Verbrechen!
07.11.2022,13.11.2022,14:30 - 14:45,Karl-Ibach-Weg,10,Jugendring,Versammlung,Gedenken an die Opfer
08.11.2022,12.11.2022,14:00 - 16:00,Döppersberg,12,,Versammlung,Aufklärungsarbeit Massentierhaltung
10.11.2022,23.11.2022,09:00 - 13:00,Eiland 2,10,,Versammlung,Klimaschutz ist kein Verbrechen!
10.11.2022,16.11.2022,08:00 - 11:00,An der Blutfinke,100 -,IG-Metall,Versammlung,Warnstreik
10.11.2022,16.11.2022,11:30 - 14:30,Blombacher Bach,200 -,IG-Metall,Versammlung,Warnstreik
21.11.2022,22.11.2022,17:30 - ?,Döppersberg,20 - 30,,Versammlung,Türkische Angriffe auf Rojava/Kobane
21.11.2022,26.11.2022,14:00 - 16:00,Döppersberg,15,,Versammlung,Tierrechte
22.11.2022,10.12.2022,18:00 - 19:00,Bahnhof Mirke,30,Initiative Seebrücke,Aufzug,Gedenken an die Toten an der EU-Außengrenze
23.11.2022,26.11.2022,11:00 - 13:00,Steinbeckermeile,12,die Basis,Versammlung,Schilderaktion für die Partei
05.12.2022,10.12.2022,14:00 - 16:00,Döppersberg,12,,Versammlung,Aufklärungsarbeit Massentierhaltung
