Anmeldung vom,Datum,Zeit,Versammlungsort,Teilnehmer,Veranstalter,Art,Thema
14.12.2022,16.12.2022,09:30 - 12:00,Schmiedestr. 81,100,Verdi. Düssedorf,Versammlung,Streik
19.12.2022,30.12.2022,16:00 - 17:30,Alter Markt,20,,Versammlung,hohe Lebensmittelpreise
12.11.2022,02.01.2023,,Döppersberg,50,,Aufzug,Genug ist Genug
12.11.2022,16.01.2023,,Döppersberg,50,,Aufzug,Genug ist Genug
12.11.2022,06.02.2023,,Döppersberg,50,,Aufzug,Genug ist Genug
19.12.2022,28.01.2023,12:00 - 16:00,Bahnhofsvorplatz Wuppertal Vohwinkel,100,,Aufzug,Jahrestag Rodung Osterholz
19.12.2022,27.01.2023,16:00 - 17:30,"Calvinstr., Ecke Wall",20,,Versammlung,hohe Energiekosten
04.01.2023,05.01.2023,11:00 - 13:00,Landgericht Wuppertal,15,,Versammlung,Lützerath
04.01.2023,04.01.2023,19:30 - 21:30,Döppersberg,30,,Versammlung,Lützerath
06.01.2023,21.01.2023,13:00 - 15:00,Döppersberg,15,Peta 2 Wuppertal,Versammlung,für Tierrechte
09.01.2023,09.01.2023,18:00 - 18:30,Döppersberg,20,,Versammlung,Gegen Ausreiseverbote
10.01.2023,14.01.2023,14:00 - 16:00,Döppersberg,12,,Versammlung,gegen Massentierhaltung
11.01.2023,13.01.2023,12:00 - 17:00,Amtsgericht u. Döppersberg,15,,Versammlung,Presseerklärung
11.01.2023,11.01.2023,18:00 - 21:00,Poststraße,50,,Aufzug,Lützerath lebt! Protest gegen die heute morgen angelaufene Räumung
11.01.2023,06.02.2023,18:00,Döppersberg,50,,Versammlung,Gegen Preisexplosion
14.01.2023,23.01.2023,15:00 - 16:15,Johannes-Rau-Platz,20,Mobiles Wuppertal,Versammlung,Haushaltsmittel für Rad- und Fußverkehr
23.01.2023,24.01.2023,11:00 - 14:00,Universität Wuppertal,7,,Versammlung,Freiheit für poltische Gefangene
02.02.2023,08.02.2023,09:30 - 12:00,KAV Wuppertal,50,verdi Bundesverwaltung,Versammlung,Tarifstreit
06.03.2023,09.02.2023,15:30 : 16.30,Werth,25,dbb,Versammlung,Arbeitskampf
08.02.2023,14.02.2023,09:30 - 13:30,Kleines Schauspielhaus,1500,verdi Düssel-Rhein-Wupper,Aufzug,Zusammen geht mehr
08.02.2023,09.02.2023,16:00 - 18:00,Döppersberg,10,,Versammlung,Situation Türkei/Syrien
