Datum,Beginn,Ende,Ort,Veranstalter,Thema,Teilnehmer
2/15/19,12:00,14:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Dern'sches Gelände, 65183 Wiesbaden",Herr Dominik Lawetzky,Fridays for Future - Schüler*innen für den Klimaschutz,--
2/15/19,16:30,16:50,"Schlossplatz, 65183 Wiesbaden","CNG - Culture, Nature and The Good Thing e. V.",Abschluss der Wanderung für mehr Menschlichkeit,--
2/16/19,10:30,15:00,"Schlossplatz, 65183 Wiesbaden","Aufstehen Hessen, Bunte Westen","Bunte Westen: Wir sind viele, wir sind vielfältig",--
2/23/19,13:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,--
2/23/19,16:00,19:00,"Bahnhofsplatz, 65185 Wiesbaden",Anonymous for the Voiceless,"Veganismus, Tierrechte",--
3/1/19,15:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
3/2/19,13:00,17:00,"Bahnhofsplatz, 65185 Wiesbaden","Initiative ""Familienleben für Alle!""",Familienleben für Alle! Gemeinsam für Familiennachzug und Grundrechte!,--
3/8/19,14:00,17:00,"Bahnhofstraße, 65185 Wiesbaden (Mahnmal Wiesbadener Sinti und Roma)",Verband Deutscher Sinti und Roma - Landesverband Hessen,NS-Verfolgung  von Sinti und Roma,--
3/9/19,11:00,14:00,"Kirchgasse, 65183 Wiesbaden, Ecke Faulbrunnenstraße, 65183 Wiesbaden",Bürgerrechtsbewegung Solidarität,"Statt Konfrontation mit Russland und China, Aufbau mit der Neuen Seidenstraße!",--
3/9/19,12:00,16:00,"Kirchgasse 50-58, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
3/9/19,15:00,19:00,"Mauritiusplatz, 65183 Wiesbaden",VORM - Vegan outreach Rhein Main,Veganismus,--
3/12/19,9:30,13:00,"Konradinerallee, 65189 Wiesbaden",Hand in Hand gegen die Gewalt,Gedenken an Susanna Feldmann,--
3/15/19,12:00,14:30,"Bahnhofsplatz, 65185 Wiesbaden, bis Schlossplatz, 65183 Wiesbaden",Frau Emely Dilchert,Fridays for Future - Globaler Schulstreik für das Klima,--
3/16/19,11:00,14:00,"Mauritiusplatz, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
3/19/19,18:30,19:30,"Mauritiusplatz, 65183 Wiesbaden",Herr Dirk Vielmeyer,Klimawandel,--
3/21/19,14:00,17:30,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
3/23/19,10:00,14:00,"Schlossplatz, 65183 Wiesbaden",Islamische Gemeinde Wiesbaden & Ost-Westlicher Diwan,Muslimische Opfer in Neuseeland,--
3/26/19,8:30,14:00,"Bahnhofsplatz, 65185 Wiesbaden (mit Rundweg)",Gewerkschaft ver.di,TV-Runde,--
