Datum,Beginn,Ende,Ort,Veranstalter,Thema,Teilnehmer
1/2/20,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
1/8/20,14:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
1/11/20,12:00,16:00,"Kirchgasse 31-35, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
1/11/20,13:45,17:30,"Kirchgasse Ecke Marktstraße, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
1/15/20,10:00,15:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Luisenplatz, 65185 Wiesbaden",Hessischer Verband für Schafzucht und -haltung e. V.,Beutegreifer,--
1/16/20,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
1/20/20,11:00,14:30,"Mauritiusplatz, 65183 Wiesbaden","Akademie für Pflege- und Sozialberufe, Mission Leben",Auszubildende und Pflegende für eine professionelle und menschenwürdige Pflege,--
1/23/20,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
1/24/20,11:00,13:00,"Wiener Platz, 55246 Mainz-Kostheim",Friday gegen Altersarmut,Friday gegen Altersarmut,--
1/25/20,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
1/25/20,12:00,14:00,"Mauritiusplatz, 65183 Wiesbaden",Farre Kiyani Movement,"Stop Terror, die EU soll die Revolutionsgarden im Iran als Terrororganisation einstufen",--
1/31/20,12:00,14:00,"Bahnhofsplatz, 65189 Wiesbaden, bis Schlossplatz, 65183 Wiesbaden",Fridays for Future,Fridays for Future,--
2/1/20,12:00,16:00,"Kirchgasse 31-35, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
2/1/20,10:30,14:00,"Domäne Mechtildshausen, 65205 Wiesbaden",Friedens- und Zukunftswerkstatt e. V.,No to Defender 2020,--
2/5/20,14:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
2/5/20,19:00,offen,"Schlossplatz, 65183 Wiesbaden",SPD Wiesbaden,Mahnwache für Demokratie,--
2/8/20,13:45,18:30,"Mauritiusplatz, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
2/8/20,14:00,18:00,"Friedrich-Ebert-Allee 1, 65185 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
2/13/20,12:00,16:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
2/14/20,15:30,17:30,"Bahnhofsplatz, 65189 Wiesbaden","LH Wiesbaden, Kommunales Frauenreferat",One Billion Rising 2020 - weltweite Aktion gegen Gewalt an Frauen,--
2/15/20,12:00,14:00,"Mauritiusplatz, 65183 Wiesbaden","Lotfi, Javad","Stop Terror, die EU soll die Revolutionsgarden im Iran als Terrororganisation einstufen",--
2/15/20,14:00,16:00,"Wiener Platz, 55246 Mainz-Kostheim",Friday gegen Altersarmut,Altersarmut,--
2/20/20,12:00,16:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / Massentierhaltung,--
2/21/20,12:00,14:00,"Bahnhofsplatz, 65189 Wiesbaden, bis Luisenplatz, 65185 Wiesbaden",Fridays for Future,Fridays for Future,--
2/21/20,14:30,15:30,"Luisenplatz, 65185 Wiesbaden",DGB Wiesbaden Rheingau-Taunus,Attentat Hanau 19.02.2020,--
2/22/20,12:45,16:30,"Ecke Schulgasse / Neugasse / Ellenbogengasse, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
2/24/20,10:00,12:30,"Dernsches Gelände, 65183 Wiesbaden",Frau Asada Sharifi,Öffnung der NSU-Akten,--
2/27/20,12:00,16:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / Massentierhaltung,--
2/29/20,12:00,15:30,"Langgasse 31, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,"Für die Einhaltung der Standards der Europäischen Masthuhn-Initiative und gegen die Tierschutzstandards von ""Subway""",--
3/5/20,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / Massentierhaltung,--
3/7/20,13:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,--
3/7/20,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
3/8/20,16:00,17:00,"Geschwister-Stock-Platz, 65185 Wiesbaden",Dezernat I / 010300,"Gedenkstunde ""Deportation der Wiesbadener Sinti in das KZ Auschwitz 1943"" mit OB Mende",--
3/8/20,12:30,17:30,"Bahnhofsplatz, 65189 Wiesbaden, bis Schlossplatz, 65183 Wiesbaden",Frauen*,Frauen*kampftag,--
3/8/20,12:00,16:00,"Bahnhofsplatz, 65189 Wiesbaden",Mädchenarbeitskreis / Amt für Soziale Arbeit,Internationaler Frauentag,--
3/10/20,13:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Wiesbadener Initiative 5G-frei,Änderung der Hess. Bauordnung / Warnung vor 5G-Gefahren,--
3/10/20,15:00,18:00,"Dernsches Gelände / Marktstraße 8/10, 65183 Wiesbaden",Herr Robin Klein,10. März - Gedenktag des tibetischen Volksaufstands,--
3/12/20,12:00,16:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / Massentierhaltung,--
4/25/20,8:00,13:00,"Friedrich-Ebert-Allee 1, 65185 Wiesbaden",Health for future Wiesbaden-Mainz,Klimakrise = Gesundheitskrise,--
4/25/20,12:00,14:00,"Mauritiusplatz, 65183 Wiesbaden",Herr Javad Lotfi,"Stop Terror, die EU soll die Revolutionsgarden im Iran als Terrororganisation einstufen",--
4/25/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Herr Werner Kleefeld,Grundrechte verteidigen - Versammlungsfreiheit schützen,--
4/25/20,16:00,18:00,"Schlossplatz, 65183 Wiesbaden",Eltern in der Krise,Eltern in der Krise - gebt uns eine Perspektive!,--
4/29/20,11:55,15:00,"Kochbrunnenplatz, 65183 Wiesbaden",Reisebüros zeigen Gesicht und brauchen Hilfe!,Reisebüros brauchen staatliche Hilfe in der Krise,--
5/1/20,12:00,13:00,"Dernsches Gelände, 65183 Wiesbaden",Herr Jakob Schäfer,"1. Mai-Feier, Arbeitnehmerrechte / Flüchtlinge",--
5/2/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,--
5/5/20,12:00,16:00,"Marktplatz, 65183 Wiesbaden",oppositionelle Betriebräte der LSG,Verbleib und Stopp des Verkaufs der LSG im LH-Konzern nach Staatsbeteiligung,--
5/9/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,--
5/13/20,11:55,14:30,"Kranzplatz, 65183 Wiesbaden",Hessen- Wiesbaden Reisebüros zeigen Gesicht und brauchen Hilfe!,Hilfe für REISEBÜROS,--
5/14/20,11:00,13:00,"Dernsches Gelände, 65183 Wiesbaden",Herr Hagen Kopp,offene Fragen zum rassistischen Mordanschlag am 19. Februar 2020 in Hanau,--
5/14/20,12:00,13:00,"Marktplatz, 65183 Wiesbaden",Bundesverband Deutscher Milchviehhalter e.V.,Milchpulverberge im Anmarsch,--
5/16/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,--
5/17/20,16:00,19:00,"Schlossplatz, 65183 Wiesbaden",Warmes Wiesbaden e. V.,IDAHOBIT,--
5/18/20,16:00,18:00,"Bahnhofsplatz, 65189 Wiesbaden",Tamilische Frauen Organisation e. V.,    Tag des Tamilische Völkermordes in Srilanka 2009 ,--
5/23/20,9:30,13:00,"Wilhelmstraße, 65185 Wiesbaden",ADFC Wiesbaden / Bündnis Verkehrswende Wiesbaden,#PopUpBikeLane 01,--
5/23/20,11:45,13:00,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Christengemeinde Wiesbaden e. V.,Christi Himmelfahrt,--
5/23/20,16:00,18:00,"Schlossplatz, 65183 Wiesbaden",extinction Rebellion Wiesbaden,Rufe aus dem Mittelmeer,--
5/23/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,--
5/24/20,15:00,17:30,"Dernsches Gelände, 65183 Wiesbaden",Frau Anja von Falkenhausen,"Frieden, Freiheit, Wahrheit und Liebe",--
5/26/20,15:00,17:00,"Kranzplatz, 65183 Wiesbaden",Familien in der Krise,Familien in der Krise - Gleiche Chancen für ALLE Kinder!,--
5/27/20,12:30,14:30,"Mainzer Straße, 65187 Wiesbaden, bis Kochbrunnenplatz, 65183 Wiesbaden",Landesverband Hessischer Omnibusunternehmer e. V.,Aktionstag zum Erhalt der Bustouristik,--
5/28/20,10:30,13:30,"Rheinstraße 22, 65185 Wiesbaden",Land-schafft-Verbindung,Landwirtschaft am Pranger der Gesellschaft,--
5/30/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,--
5/31/20,15:00,17:30,"Dernsches Gelände, 65183 Wiesbaden",Frau Anja von Falkenhausen,"Frieden, Freiheit, Wahrheit und Liebe",--
6/2/20,15:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Fridays for Future,Autogipfel,--
6/5/20,9:30,13:00,Bahnhofsplatz bis Kostheimer Mainbrücke,Fridays for Future,Verkehrswende / Abwrackprämie,--
6/6/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,"Erhaltung des Grundgesetzes und der Meinungsfreiheit, sowie freiwillige Impfung",--
6/6/20,14:00,17:00,"Luisenplatz, 65185 Wiesbaden",Silent Demo,Rassismus und Polizeigewalt,--
6/6/20,14:30,15:15,"Bahnhofsplatz, 65189 Wiesbaden",Herr Iskandaril Ramil,Wir stellen der deutschen Gesellschaft den einzigen Diktator Ilham Aliyev Europas vor,--
6/6/20,15:30,16:15,"Bahnhofsplatz, 65189 Wiesbaden",Herr Mammad Qarayev,"Alle Diktatoren sind gefährlich für die Welt, wie das Coronavirus Pandemie",--
6/6/20,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,--
6/7/20,15:00,17:30,"Dernsches Gelände, 65183 Wiesbaden",Frau Anja von Falkenhausen,"Wahrheit, Freiheit, Frieden und Liebe",--
6/8/20,11:00,13:00,"Dernsches Gelände, 65183 Wiesbaden",GEW Studierende Hessen,Echte Soforthilfen für Studierende jetzt,--
6/13/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,--
6/14/20,15:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Frau Anja von Falkenhausen,"Wahrheit, Freiheit, Frieden und Liebe",--
6/17/20,7:00,19:00,"Kaiser-Friedrich-Ring 77, 65185 Wiesbaden",extinction rebellion,"Verkehrs-, Transportwende; anachronistische Straßenbauprojekte",--
6/17/20,8:00,18:00,"Bahnhofsplatz, 65189 Wiesbaden",Extinction Rebellion,Wald statt Asphalt,--
6/19/20,14:00,17:00,"Bahnhofsplatz, Rundkurs durch Innenstadt",FridaysforFuture,"Dannenröderwald, Verkehrswende, Stadtradeln",--
6/20/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,--
6/20/20,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,--
6/21/20,15:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Frau Anja von Falkenhausen,"Frieden, Freiheit, Menschlichkeit",--
6/24/20,16:00,18:30,"Dernsches Gelände, 65183 Wiesbaden",Flüchtlingsrat Wiesbaden,Landesaufnahmeprogramm für Geflüchtete mit besonderer Vulnerabilität,--
6/26/20,18:00,20:00,"Faulbrunnenplatz, 65183 Wiesbaden, bis Murnaustraße, 65189 Wiesbaden",Herr Jeremias Frey,Demonstration gegen Überwachung,--
6/27/20,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,--
6/27/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,"Frieden, Freiheit, Menschlichkeit",--
6/28/20,15:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Frau Anja von Falkenhausen,"Frieden, Freiheit, Menschlichkeit",--
6/30/20,17:00,20:00,"Bahnhofsplatz, 65189 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",Arbeitskreis Umwelt Wiesbaden (AKU),Verkehrswende / City-Bahn / Bürger*innenentscheid,--
7/1/20,12:00,13:00,"Schlossplatz, 65183 Wiesbaden",Genossenschaft Deutscher Bühnen-Angehöriger GDBA,Existenzbedrohung des Solo Selbstständigen und privaten Kulturbetriebe,10-200
7/3/20,12:30,16:00,"Bahnhofsplatz, 65189 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",FridaysforFuture,Dannenröder Wald,100
7/4/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,"Frieden, Freiheit, Menschlichkeit",30
7/4/20,14:00,17:00,"Mainzer Straße, 65187 Wiesbaden, bis Kaiser-Friedrich-Ring, 65189 Wiesbaden",BifF - Biker for Freedom,Wir sind gegen das geplante Fahrverbot für Motorräder,3.000
7/4/20,15:00,19:00,"Bahnhofsplatz, 65189 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",Silent Demo,"Rassismus, insbesondere Black Lives Matter Bewegung",1.500
7/4/20,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,10
7/5/20,15:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Frau Anja von Falkenhausen,"Frieden, Freiheit, Menschlichkeit",100
7/10/20,18:00,20:00,"Faulbrunnenplatz, 65183 Wiesbaden, bis Murnaustraße, 65189 Wiesbaden",Totalitarisbaden,Demonstration gegen Überwachung,50
7/11/20,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
7/11/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,40
7/12/20,15:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Menschen Wiesbaden,"Frieden, Freiheit, Menschlichkeit, Gesundheit, Liebe ",100-150
7/12/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
7/15/20,9:15,15:00,"Mainzer Straße 124, 65189 Wiesbaden",Solidaritätsbewegung,Solidarität,20-50
7/18/20,12:00,15:30,"Kirchgasse 50-58, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10-15
7/18/20,13:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,35-90
7/18/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,40
7/19/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
7/19/20,15:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Querdenken 611 Wiesbaden,"Frieden, Freiheit, Menschlichkeit",200
7/21/20,15:00,20:00,"Marktstraße, 65183 Wiesbaden, bis Walter-Hallstein-Straße, 65197 Wiesbaden",Herr Joachim Schorr,Rechte Strukturen bei der (hessischen) Polizei,100
7/25/20,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,20
7/25/20,14:00,16:30,"Mauritiusplatz, 65183 Wiesbaden",Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,40
7/26/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
7/26/20,15:00, 18:00,"Dernsches Gelände, 65183 Wiesbaden",Querdenken 611 Wiesbaden,"Frieden, Freiheit, Menschlichkeit",100-150
7/31/20,14:00,16:00,"Dernsches Gelände, 65183  Wiesbaden",FridaysforFuture,regionaler Klimaschutz (Wiesbaden und Hessen),100
8/1/20,13:00,17:00,"Kirchgasse, 65183 Wiesbaden",Aktiv for the Speziesismus,Vegan leben und Tierrechte ,10-15
8/1/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,30
8/1/20,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
8/2/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
8/7/20,19:00,22:00,"Kreuzung Scharnhorststraße / Goebenstraße, 65195 Wiesbaden",Brückenschlag Westend,Brückenschlag Westend,60-80
8/8/20,12:00,16:00,"Kirchgasse / Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10-15
8/8/20,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",FarreKiyani Bewegung,Freiheit und Demokratie für Iran,8-15
8/8/20,14:00,16:00,"Ecke Schulgasse / Neugasse, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,20
8/8/20,16:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Seebrücke Wiesbaden,Seebrücke / Briefe aus dem Camp Moria,60
8/9/20,15:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Querdenken 611 Wiesbaden,"Frieden, Freiheit, Menschlichkeit",150-200
8/9/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
8/11/20,17:30,19:30,"Bahnhofsplatz, 65189 Wiesbaden, bis Hofgut Adamstal, 65195 Wiesbaden",ADFC Wiesbaden,#VisionZero - keine Verkehrstoten,20
8/12/20,12:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Herr Simon Kerti,Werde-Licht! Eine ermutigende Kundgebung zur Bewahrung und Förderung der christlichen Werte,10
8/12/20,12:05,16:00,"Kranzplatz, 65183 Wiesbaden (mit Aufzug)",#alarmstuferot in der Veranstaltungswirtschaft - wir sind das Bündnis der Initiativen der Veranstaltungswirtschaft,#alarmstuferot Landesdemo zur Rettung der Veranstaltungswirtschaft,300
8/13/20,11:00,16:00,"Bahnhofsplatz, 65189 Wiesbaden, bis Schlossplatz, 65183 Wiesbaden",Union of Oromo Students in Germany (UOSG),"Oromo für Gerechtigkeit, Freiheit / Demokratie gegen diktatorische Herrschaft in Äthiopien",500
8/15/20,14:00,16:30,"Mauritiusplatz, 65183 Wiesbaden",Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,40
8/15/20,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
8/16/20,15:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Querdenken 611 Wiesbaden,"Frieden, Freiheit, Wahrheit, Liebe",100-200
8/16/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
8/17/20,18:00,19:30,"Dernsches Gelände, 65183 Wiesbaden",Jusos Wiesbaden / Jusos Rheingau-Taunus,Für Demokratie und Menschrechte für Belarus,50
8/19/20,12:05,16:00,"Kranzplatz, 65183 Wiesbaden (mit Aufzug)",#alarmstuferot in der Veranstaltungswirtschaft - wir sind das Bündnis der Initiativen der Veranstaltungswirtschaft,#alarmstuferot Landesdemo zur Rettung der Veranstaltungswirtschaft Teil 2,300
21.08.2020,12:00,12:00,"Schlossplatz, 65183 Wiesbaden",FridaysforFuture,Dannenröderwald,50
22.08.2020,12:00,12:00,"Schlossplatz, 65183 Wiesbaden",FridaysforFuture,Dannenröderwald,50
8/22/20,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",FarreKiyani Bewegung,Freiheit und Demokratie für Iran,8-15
8/22/20,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
8/22/20,14:00,16:30,"Ecke Schulgasse / Neugasse, 65183 Wiesbaden",Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,40
8/23/20,15:00,18:30,"Dernsches Gelände, 65183 Wiesbaden",Querdenken 611 Wiesbaden,"Freiheit, Frieden, Wahrheit, Liebe",150-200
8/23/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
8/26/20,12:05,16:00,"Kranzplatz, 65183 Wiesbaden (mit Aufzug)",#alarmstuferot in der Veranstaltungswirtschaft - wir sind das Bündnis der Initiativen der Veranstaltungswirtschaft,#alarmstuferot Landesdemo zur Rettung der Veranstaltungswirtschaft Teil 3,300
8/27/20,14:30,19:30,"Bahnhofsplatz, 65189 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",Beheard,Rassismus,300
8/29/20,13:00,18:00,"Mauritiusplatz, 65183 Wiesbaden",Black Community Foundation,Opfer von Rassismus und Polizeigewalt in Deutschland,20-25
8/29/20,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
8/30/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
9/1/20,10:00,13:00,"Marktplatz, 65183 Wiesbaden (zwischen Rathaus und Marktkirche)",Omas gegen Rechts-Gießen,rechtsextremistische Angriffe bes. auf Frauen,30
9/2/20,12:05,16:00,"Kranzplatz, 65183 Wiesbaden (mit Aufzug)",#alarmstuferot in der Veranstaltungswirtschaft - wir sind das Bündnis der Initiativen der Veranstaltungswirtschaft,#alarmstuferot Landesdemo zur Rettung der Veranstaltungswirtschaft Teil 4,300
9/2/20,18:00,20:00,"Dernsches Gelände, 65183 Wiesbaden",Seebrücke Wiesbaden,Gedenken an Familie Kurdi,50
9/3/20,17:00,18:00,"Dernsches Gelände, 65183 Wiesbaden (direkt an der Bannmeile)",ver.di - Vereinte Dienstleistungsgewerkschaft,Übergabe eines offenen Briefes von Kolleg*innen aus dem Sozial- und Erziehungsdienst zur Verbesserung der Arbeitsbedingungen unter Coronabedingungen,30
9/3/20,17:30,18:30,"Marktplatz, 65183 Wiesbaden (zwischen Marktkirche und Rathaus)",Bündnis der Bürgerinitiativen - BBI,"Flüge auf die Züge, keine innerdeutschen Flüge für hessische Bedienstete und Politiker",50-100
9/5/20,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",FarreKiyani Bewegung,Freiheit und Demokratie für Iran,8-15
9/5/20,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
9/5/20,14:00,16:30,"Ecke Schulgasse / Neugasse, 65183 Wiesbaden",Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,50
9/5/20,14:30,16:00,"Bahnhofsplatz, 65189 Wiesbaden, bis Luisenplatz, 65185 Wiesbaden",BI Pro Citybahn,#WeichenStellen - Gemeinsam für unsere Straßenbahn,1.000
9/6/20,15:00,18:30,"Dernsches Gelände, 65183 Wiesbaden",Querdenken 611,"Frieden, Freiheit, Wahrheit, Liebe",150-200
9/6/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
9/6/20,20:00,21:30,"Hafenweg, 65201 Wiesbaden",Bürgerinitiative Zukunft Schierstein,Wir lehnen den Bebauungsplan Osthafen westl. des Hafenwegs im Ortsbezirk Schierstein ab,100
9/9/20,18:30,20:00,"Schlossplatz, 65183 Wiesbaden",Herr Silas Gutdeutsch,Moria brennt. Menschen verdienen Menschlichkeit,30
9/9/20,20:00,22:00,"Ringkirche, 65185 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",Herr Jeremias Frey,"Moria brennt, evakuiert alle Lager",20-50
9/11/20,11:00,13:00,"Reisinger Anlage, 65189 Wiesbaden",FridaysforFuture,Dannenröder Wald,250
9/11/20,12:30,14:30,"Am Landeshaus, 65187 Wiesbaden",FridaysforFuture,Dannenröderwald,100
9/11/20,12:30,14:00,"Schlossplatz, 65183 Wiesbaden",FridaysforFuture,Dannenröderwald,100
9/11/20,14:00,15:00,"Schlossplatz, 65183 Wiesbaden, bis Am Landeshaus, 65187 Wiesbaden (Menschenkette)",FridaysforFuture,Dannenröder Wald,750
9/12/20,12:00,14:00,"Markstraße / Kirchgasse / Langgasse / Michelsberg, 65183 Wiesbaden",Wiesbadener Bündnis für Demokratie,Aktion zur Sensibilisierung von Vorurteilen / Rassismus als Problem,20
9/12/20,12:00,16:00,"Kirchgasse / Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10-15
9/12/20,13:00,19:00,"Bahnhofsplatz, 65189 Wiesbaden",Omas gegen Rechts Wiesbaden und VVN-BdA Frankfurt,gegen Corona-Leugner,70
9/12/20,14:00,20:00,"Reisinger- und Herbert Anlage, 65189 Wiesbaden",Querdenken 611,"Frieden, Freiheit, Wahrheit",2.000-3.000
9/13/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
9/13/20,20:00,21:30,"Hans-Römer-Platz bis Hafenweg, 65201 Wiesbaden",Bürgerinitiative Zukunft Schierstein,Wir lehnen den Bebauungsplan Osthafen westl. des Hafenwegs im Ortsbezirk Schierstein ab,100
9/16/20,17:00,21:00,"Kranzplatz, 65183 Wiesbaden (mit Aufzug)",#alarmstuferot in der Veranstaltungswirtschaft - wir sind das Bündnis der Initiativen der Veranstaltungswirtschaft,#alarmstuferot Landesdemo zur Rettung der Veranstaltungswirtschaft Teil 4,300
9/17/20,14:30,18:30,"Bowling Green (Kurhaus Wiesbaden), 65189 Wiesbaden",Bündnis Stadtklima,Klimanotstandsgerechte Stadtbebauung,300
9/19/20,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",FarreKiyani Bewegung,Freiheit und Demokratie für Iran,8-15
9/19/20,14:00,16:30,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,35
