Datum,Ort (ausschließlich Dresden),Thema,Teilnehmer,sheet_name
2020-10-05,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-10-05,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-10-05,Wienerplatz,Meinungsfreiheit,30,2020
2020-10-12,Neumarkt,Gemeinsam für Bürgerrechte,600,2020
2020-10-12,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-10-12,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-10-12,Alaunplatz - Neumarkt,"Jetzt erst Recht, Rassisten*innen ",150,2020
2020-10-12,Wienerplatz,Meinungsfreiheit,30,2020
2020-10-19,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-10-19,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-10-19,Wienerplatz,Meinungsfreiheit,30,2020
2020-10-24,Theaterplatz,Solidarität mit Arzach - Sanktionen gegen die Türkei,300,2020
2020-10-25,Theatherplatz,Für Weltoffenheit und ein solidarisches Miteinander,2000,2020
2020-10-25,Neumarkt,Herz statt Hetze ,2000,2020
2020-10-25,Postplatz,Herz statt Hetze ,1000,2020
2020-10-25,Altmarkt,Demokratie braucht Rückgrat,2000,2020
2020-10-25,Jorge-Joao-Gomondhai-Platz - Neumarkt,"Für ein soziales Dresden statt rassistischer Spaltung: Für gute Pflege, bezahlbaren Wohnraum und Freiräume für alle",500,2020
2020-10-25,Alaunplatz - Neumarkt,Empower Diversity - Gleiche Rechte für alle,1000,2020
2020-10-25,Nürnberger Ei - Neumarkt,"Gegendemo zu Pegida unter dem Motto ""Hoch die internationale Solidarität",100,2020
2020-10-25,Fritz-Förster-Platz - Neumarkt,Gemeinsam. Aktiv. Bunt.,2000,2020
2020-10-25,Friedrich-Wieck-Straße,Feministische Lesung gegen rechts,50,2020
2020-10-26,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-10-26,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-10-26,Neumarkt,Gemeinsam für Bürgerrechte,600,2020
2020-10-26,Wienerplatz,Meinungsfreiheit,30,2020
2020-10-26,Altmarkt,PEGIBirthday 2.0 - Ein Herz für Hetzer oder Drei Hakenkreuze für Lutz Bachmann,40,2020
2020-10-26,Altmarkt,Für ein tollerantes Dresden ohne Rechtsextremismus und Rassismus,500,2020
2020-10-26,Alaunplatz - Görlitzer Straße - Louisenstraße - Alaunstraße - Albertplatz - Albertstraße -Carolaplatz - Carolabrücke - Rathhausplatz - Akademiestraße - Schießgasse - Wilsdruffer Straße - Altmarkt ,"Jetzt erst Recht, Rassisten*innen entgegen treten. ",400,2020
2020-10-27,Wiener Platz,"""Nationalismus raus aus den Köpfen"" ",100,2020
2020-10-27,Wiener Platz,Gemeinsam für Bürgerrechte,100,2020
2020-10-28,Prager Straße,Gemeinsam für Bürgerrechte,100,2020
2020-10-28,Prager Straße,"""Nationalismus raus aus den Köpfen"" ",100,2020
2020-10-29,Prager Straße,Wie gefährlich ist Corona?,20,2020
2020-10-31,Theaterplatz,"Frieden, Freiheit und Demokratie in Zeiten von Corona",1000,2020
2020-10-31,Altmarkt,Islam gegen Terrorismus,60,2020
2020-11-02,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-11-02,Neumarkt,Nationalismus raus den Köpfen,300,2020
